camera_id,lat,lon
1,38.35,-90.12
1049,44.2710258,-71.3055278
12040,47.963776,-89.6848121
12362,42.96124,-115.27258
12365,43.75538,-111.84968
12853,44.404889,-65.9986179
12863,44.639425,-64.052121
12870,45.2416708,-62.3232713
12872,44.7677735,-62.9500839
12879,45.8496979,-63.661204
12903,41.674659,-83.692002
1306,41.7970568,-72.7200366
1363,40.4237054,-86.9211946
15767,38.478193,-107.8766911
1593,41.7970568,-72.7200366
1612,33.67825296,-116.3333677
17039,42.544449,-72.164004
17163,35.65610051,-83.9028605
17164,35.5848237,-83.0623642
17165,47.0200338,-113.1279995
17185,46.5127388,-114.0907386
17188,43.9786719,-71.124698
17365,35.693,-84.0488
17390,35.8021685,-82.345189
19,44.478739,-73.19164
19059,46.47191632,-89.92858887
19289,41.215728,-111.85745
19308,38.332678,-112.373931
19311,38.52671791,-109.5065413
20543,43.499816,-110.8999
21061,39.770055,-105.813559
21107,40.596141,-105.076594
21142,39.326836,-106.953529
21452,44.35344485,-97.12922384
21742,35.7879,-75.9038
21745,44.0646,-71.2881
21746,44.0646,-71.2881
21748,53.62889,-106.19779
21756,42.5378,-72.1715
21757,42.53532,-72.1899
21758,42.53532,-72.1899
21759,42.5378,-72.1715
21765,43.943943,-71.701859
21771,38.7441,-92.2
21779,44.565,-76.324
21786,42.63531219,-80.55756157
21790,45.55984,-84.71382
21791,45.55984,-84.71382
21794,45.805986,-90.07912
21796,41.5495,-70.6432
21805,46.507,-114.091
21807,47.946702,-91.495506
21822,46.0,-74.0
21847,35.59,-83.0775
21850,43.1086,-70.9505
2393,43.59457,-114.34399
23968,37.22781815,-80.41961516
26980,43.074855,-96.796287
26986,45.8343,-98.5172
26993,43.632198,-97.069296
27017,49.443,-117.146
27417,42.660221,-103.577042
27420,41.569225,-102.770576
27442,41.263355,-100.196686
27445,40.73978,-100.719398
27446,42.346874,-98.028259
27450,42.844254,-97.398605
27454,41.551758,-98.146362
27457,42.231316,-96.471977
27460,41.985016,-98.547363
27462,42.919224,-99.335632
27464,41.820488,-101.759918
27466,42.374271,-100.544128
27943,45.345343,-111.172606
30300,47.9032372,-91.8670873
30301,47.0202162,-113.1331154
30989,42.0333607,-88.0834059
30994,41.6947921,-88.2555154
31376,40.142972,-82.989212
3419,40.42913206,-86.91262027
3724,40.4282309,-86.9143224
428,41.3005,-74.1249
4308,35.5769,-83.0635
5025,50.30309321,8.570849685
644,40.9691,-111.9073
6833,47.938789,-91.5707117
709,47.6329,-120.3481
