DOY,1,1049,12040,12362,12365,12853,12863,12870,12872,12879,12903,1306,1363,15767,1593,1612,17039,17163,17164,17165,17185,17188,17365,17390,19,19059,19289,19308,19311,20543,21061,21107,21142,21452,21742,21745,21746,21748,21756,21757,21758,21759,21765,21771,21779,21786,21790,21791,21794,21796,21805,21807,21822,21847,21850,2393,23968,26980,26986,26993,27017,27417,27420,27442,27445,27446,27450,27454,27457,27460,27462,27464,27466,27943,30300,30301,30989,30994,31376,3419,3724,428,4308,5025,644,6833,709
1,0.327572164,0.330711332,0.349503823,0.346281697,0.334002324,0.341337844,0.357253468,0.34530875,0.346105658,0.347225164,0.357666303,0.354855199,0.323203449,,0.356656041,0.334531628,0.37347783,0.32387673,0.31441264,0.337251145,0.331260444,0.33270851,0.324622745,0.335791653,0.332095159,0.336951824,0.341954651,0.334830854,0.33859202,0.333018795,0.334610282,0.338008073,0.320723253,0.338849175,0.31080558,0.35304866,0.369236974,0.315401281,0.380629575,0.300073357,0.287182857,0.341207037,0.353719497,0.33035305,0.323568198,0.318960596,0.316380907,0.332393007,0.321123358,0.366510636,0.331334219,0.328241982,0.343334815,0.316448386,0.308888629,0.340312375,0.32669793,0.336007842,0.337329754,0.339400147,0.338486842,0.341067498,0.343619308,,0.323862902,,0.34068456,0.319994283,0.332815932,0.345234499,0.316941741,0.314220485,0.342654327,0.330103898,0.327939608,0.337257632,,,,0.321018372,0.324730333,0.337122424,0.319407858,0.333333333,0.331271079,0.327932185,0.330586138
2,0.32375056,0.336545454,0.336262946,0.350504974,0.336221036,0.323402414,0.35146276,0.343450599,0.342907317,0.349071771,0.362405562,0.355373017,0.32372948,0.332428191,0.357291355,0.336404352,0.364874081,0.322603886,0.317845131,0.325679053,0.326959526,0.330326691,0.322605424,0.328925748,0.333454071,0.335490433,0.342363006,0.33699114,0.335815728,0.332960311,0.334716334,0.336583364,0.3127784,0.337489959,0.313798847,0.35116025,0.368389972,0.313563929,0.369173753,0.295594744,0.278522841,0.342458146,0.354827898,0.331445041,0.327541763,0.318615821,0.312192096,0.330841354,0.31824223,0.370942973,0.328446556,0.326435699,0.336302453,0.315445386,0.307405076,0.342078021,0.341997328,,0.334170936,,0.338901734,0.341477736,0.342892414,0.342820315,0.321964901,0.345173451,0.339697967,0.318427994,0.333011114,0.341942703,0.318253629,0.315404858,0.342312476,0.330636025,0.326793013,0.327572045,,,,0.3210737,0.325108327,0.346411262,0.313904616,0.333333333,0.330432796,0.327564751,0.329762072
3,0.330235357,,0.33659862,0.347197195,0.333297753,0.336182586,0.343271699,0.344691378,0.355244189,0.33808408,0.358285389,0.355154821,0.323822855,0.335731994,0.355355928,0.340958834,0.358118386,0.3372226,0.311464782,0.32391866,0.329496539,0.330320837,0.326378577,0.33095167,0.334425712,0.336802622,0.344364994,0.335287008,0.335754743,0.331170142,0.337459678,0.337183982,0.321676539,0.336785777,0.325048962,0.350438914,0.365916556,,0.359347963,0.295679865,0.296629793,0.341165848,0.354603287,0.329229467,0.324914985,0.306245034,0.308130729,0.329427025,0.317969611,0.367846789,0.328854147,0.327031356,0.343560286,0.311771732,0.30742802,0.341720804,0.340848482,0.336070161,,0.340360773,0.338741435,0.342604529,0.342854532,,0.321075994,,0.342253743,,,0.342263504,0.309639244,0.314732265,0.342945197,,0.327477802,0.325222073,,,,0.323672958,0.327884002,0.344411408,0.309148184,0.333333333,0.332470416,0.327727623,0.332924205
4,0.320480338,0.34082303,0.338667311,0.345596778,0.33381999,0.341485171,0.349828276,0.34331302,0.346021811,0.344575577,0.361340902,0.353320151,0.326421404,0.33327798,0.354443653,0.339408205,0.354153362,0.326928595,0.316803804,0.32590104,0.327881278,0.330230133,0.327094148,0.331291908,0.328974039,0.338599715,0.342947537,0.335448716,,0.33285017,0.335947816,0.336293263,0.319986087,0.335830218,0.317206237,0.354691676,0.365545159,,0.352452129,0.299748931,0.309519205,0.34686212,0.354257412,0.329497876,0.339726662,0.31229145,0.311754509,0.330416758,0.325554449,0.370101014,0.330435163,0.327234988,0.34510249,0.317266098,0.305904231,0.346421851,0.345454117,0.33614644,0.335443242,0.338339207,0.338583743,0.341380132,,0.342269417,0.324408711,0.34601527,0.340356739,0.31993993,,0.346707602,0.314006851,0.313818775,0.34214654,0.332150442,0.327000158,0.324636809,,,,0.323859842,0.328289744,0.342391391,0.315648956,0.333333333,0.332516984,0.326930616,0.332423932
5,0.328516364,0.332861739,0.345805003,0.346456738,0.334235137,0.372345095,0.347326855,0.344259527,0.344228415,0.343855775,0.362621427,0.354720936,0.320130689,0.332487997,0.354103458,0.336810592,0.360506852,0.321827307,0.315023216,0.330044325,0.32598144,0.329758088,0.322528812,0.339903952,0.331811582,0.336449763,0.343550349,0.33616502,0.338247383,0.333418497,0.336019324,0.337524397,0.321690448,0.336258113,,0.352428829,0.365856099,,0.360490317,0.297376106,0.29713212,0.34463015,0.35573148,0.331235872,0.32666705,0.318759059,0.312809376,0.330390265,0.320511059,0.370848538,0.325162246,0.327742762,0.345375267,0.315391763,0.307111041,0.344580838,0.321417109,0.334760551,0.33563449,,0.340700539,0.341933083,0.342594381,,0.323027636,0.348042314,0.341886385,,0.331909897,0.341813771,,,,0.333746294,0.32777036,0.330268071,,,,0.320859883,0.324195807,0.341978601,0.31918762,0.333333333,0.331330335,0.327903991,0.332181747
6,0.32715623,0.329523773,0.339263244,0.346598185,0.335069536,0.338429637,0.344703534,0.343844176,0.341309251,0.337120195,0.351467422,0.353378692,0.316205375,0.33043119,0.354211833,0.341023025,0.358750604,0.323682322,0.316652378,0.339295483,0.328851813,0.328851901,0.323684328,0.336290989,0.330552541,0.338668963,0.344081225,0.335216076,0.337424686,,0.334455635,0.335920255,0.323988104,0.33807051,0.314543063,0.349019921,0.361924887,,0.360781077,0.294624181,0.310999922,0.346917085,0.350147359,0.331472066,0.324471227,0.321859847,0.306924896,0.327022799,0.322152489,0.367005008,0.32906413,0.326205231,0.344636558,0.316217565,0.304893064,0.34766873,0.340993173,0.338983708,0.34010957,,0.340509727,0.342262302,0.340971442,,,0.344739463,,0.320802925,0.334632223,0.343663539,0.316654799,0.313972364,0.342723168,,0.327395779,0.337186455,,,,0.315561408,0.319416706,0.33570577,0.319833162,0.333333333,0.334338173,0.328015181,0.333336347
7,0.322791056,0.332737949,0.344002207,0.344678419,0.334919304,0.34119825,0.345660799,0.344068284,0.342662719,0.344070431,0.360360802,0.353714409,0.318924458,0.33085372,0.356236856,0.341124863,0.357881344,,0.314007071,0.332967186,0.328920209,0.329076434,0.330751583,0.330195703,0.329207687,0.339981046,0.343028634,0.336853962,0.338351897,0.334589152,0.333603617,0.337062322,0.321151624,0.337570112,0.311086466,0.351023742,0.363635291,0.308172264,0.359782991,0.295891556,0.306985734,0.342029431,0.357018896,0.33183455,0.323800437,0.321621428,0.312507358,0.330562385,0.325529923,0.363031083,0.329572589,0.328671204,0.344501795,0.314053971,0.306231897,0.341449415,0.337519723,0.335872717,0.334846448,0.338810736,0.338070416,0.341274449,,,,,0.340573536,0.319201221,0.332824007,0.346381865,,,0.342423528,,0.328758663,0.33634218,,,,0.318367297,0.320965802,0.333877401,0.322730809,0.333334418,0.333640242,0.328764397,0.332044197
8,0.322805515,0.332473752,0.335098588,0.346554906,0.335002706,0.329573019,0.343420626,0.340398994,0.342377689,0.339857986,0.363149975,0.353532844,0.321050624,0.331369297,0.354057927,0.339207806,0.369237246,0.321895033,0.316289428,0.32816425,0.331033539,0.332235796,0.321837502,0.334563811,0.329168261,0.339637731,0.343213253,0.337675305,0.338042961,0.332916014,0.334199713,0.338703516,0.318239754,0.337698983,0.311742046,0.352684215,0.363242462,0.298861283,0.375767989,0.295518709,0.285908568,0.344628436,0.357071715,0.332247518,0.322610376,0.31964786,0.31099217,0.331023359,0.321624906,0.368435622,0.330195498,0.327023006,0.344155543,0.316920561,0.305848726,0.343291705,0.343244976,0.335351826,0.332734364,0.339052268,0.338768908,0.338885789,0.342487986,,0.32261138,0.345239875,0.341435094,,0.334485145,,0.311744465,0.313726534,,,0.326994853,0.32703077,,,,0.31950327,0.323993575,0.336055051,0.320130615,0.333333333,0.333975503,0.327123847,0.332307331
9,0.325067507,0.331807273,0.338638902,0.346828609,0.335011397,0.344940976,0.351972294,0.348448236,0.345544636,0.346044397,0.356742349,0.350801804,0.318330331,,0.352222254,0.341544749,0.371442064,0.323602076,,0.329219254,,0.329698057,0.323815349,0.341604974,,0.33914669,0.343732248,0.336406357,0.336774877,0.333946216,0.333862598,0.334326114,0.319481432,0.336573139,0.322371742,0.351055267,0.360659554,0.304983218,0.375794944,0.300623321,0.303583117,0.34694148,0.354439697,0.332556505,0.326856959,0.317673959,0.309155339,0.327398217,0.325041608,0.36253056,,0.327344397,0.346823017,0.317392691,0.306724958,0.343148437,0.323861964,0.336228583,0.329108491,0.340695612,0.337702123,0.340639377,0.344018093,,,0.343762259,0.341760364,0.321420285,0.333434821,0.343965333,0.316544657,0.313979402,0.34199101,,0.327564851,0.329161945,,,,0.319998181,0.323578627,0.330608258,0.32111552,0.333333333,0.333812899,0.328228253,0.332272197
