,DOY,green relative Year2015.C6,green relative Year2014,green relative Year2017
1,1,0.341337844,0.348562719,0.349787829
2,2,0.323402414,0.367144325,0.333729537
3,3,0.336182586,0.351313516,0.341467842
4,4,0.341485171,0.333958799,0.343699861
5,5,0.372345095,0.348898241,0.34013535
6,6,0.338429637,0.348276751,0.341546884
7,7,0.34119825,NA,0.345024802
8,8,0.329573019,0.348537834,0.342655713
9,9,0.344940976,0.366701382,0.334234506
10,10,0.338550264,0.36961311,0.341644014
11,11,0.329167269,NA,0.343034251
12,12,0.34609006,0.357800763,0.343940814
13,13,0.336840228,NA,0.33372592
14,14,0.342260858,0.35839589,0.342157122
15,15,0.338335274,0.360053693,0.343883036
16,16,0.336204676,0.351254862,0.339527937
17,17,0.339048937,0.370342289,0.331779841
18,18,0.341419843,NA,0.342290068
19,19,0.35891533,NA,0.343524165
20,20,0.349308153,NA,0.343248866
21,21,0.353115288,0.356570301,0.344228361
22,22,0.366851528,0.347504944,0.342933229
23,23,0.341507,0.34174339,0.33371366
24,24,0.370308249,NA,0.342405656
25,25,0.369138688,NA,NA
26,26,0.372052033,NA,0.342293002
27,27,0.340895916,NA,0.338662518
28,28,0.34000393,NA,0.33989868
29,29,0.341127397,NA,0.343205944
30,30,NA,NA,0.342375333
31,31,0.336522801,NA,0.340327601
32,32,0.336349121,0.360462627,0.342196179
33,33,0.338241046,0.357593313,0.33915478
34,34,0.337592536,0.365879378,0.338224501
35,35,0.332427468,0.357276665,0.341573825
36,36,0.33924607,0.345407031,0.343265706
37,37,0.340908896,0.370793177,0.340444567
38,38,0.33246531,0.347685054,0.343451059
39,39,0.337521584,0.361742935,0.344346143
40,40,0.338079154,0.352089193,0.345866064
41,41,0.334969068,0.355365017,0.342464514
42,42,0.339890894,0.365136856,0.342487079
43,43,0.341112785,0.352116427,0.337434477
44,44,0.33844124,0.369101217,0.341977079
45,45,0.338068505,0.347198091,0.341282433
46,46,0.338165655,0.352432371,0.346241752
47,47,0.337273991,0.371211029,0.343340686
48,48,0.337942748,0.362129136,0.340825043
49,49,0.329428592,0.349675418,0.344646801
50,50,0.339092112,0.352624185,0.343877872
51,51,0.340037232,0.345292189,0.34386377
52,52,0.342966104,0.353184558,0.327381429
53,53,0.33909715,0.358056619,0.341585687
54,54,0.332801293,0.368892864,0.33032457
55,55,0.334140908,0.364868311,0.337496535
56,56,0.337253522,0.357984366,0.332913234
57,57,0.341013851,0.364021341,0.336188309
58,58,0.341373079,0.359517065,0.339225231
59,59,0.338980792,0.367618158,0.336725438
60,60,0.338829826,0.357150033,0.343743029
61,61,0.337314173,0.348626976,0.345008789
62,62,0.340236008,0.355290679,0.341777763
63,63,0.343203799,0.3536236,0.341496761
64,64,0.34207038,0.360664151,0.340586127
65,65,0.341894188,0.354970736,0.34642002
66,66,0.340784531,0.36308392,0.34459718
67,67,0.347068572,0.3571333,0.343891808
68,68,0.338006365,0.371592554,0.341503766
69,69,0.344485209,0.359423225,0.342075352
70,70,0.348343391,0.363979976,0.342801453
71,71,0.345848996,0.366732245,0.343728471
72,72,0.349996195,0.352796797,0.33803591
73,73,0.343889748,0.348566044,0.342717093
74,74,0.368175223,0.36050195,0.345576635
75,75,0.344525934,0.357251715,0.340756016
76,76,0.342082154,0.355588816,0.343797355
77,77,0.339061951,0.330117083,0.342870126
78,78,0.338773432,NA,NA
79,79,0.343129653,0.34936775,0.343332418
80,80,0.340682214,0.361789278,0.357884013
81,81,0.341221562,0.364192435,0.34122774
82,82,0.346162319,0.358990221,0.333435979
83,83,0.340204761,0.367232121,0.342790869
84,84,0.343319864,0.339666203,0.34027167
85,85,0.351963815,0.33502173,0.361888297
86,86,0.350758557,0.361540488,0.341790136
87,87,0.353521891,0.357070488,0.34295377
88,88,0.340297609,0.361317999,0.3449056
89,89,0.340741341,0.324197866,0.341496916
90,90,0.353070201,0.35424179,0.352232142
91,91,0.340210446,0.367031106,0.341438228
92,92,0.349774768,0.360296223,0.343153321
93,93,0.35595665,0.364642919,0.360490615
94,94,0.366256879,0.350633157,0.338863157
95,95,0.355356002,0.359333416,0.342314162
96,96,0.361715857,0.347117896,0.342910085
97,97,0.341967886,0.343199018,0.343523267
