,DOY,green relative Year2015.C87,green relative Year2017
1,1,NA,0.364152068
2,2,NA,0.368331307
3,3,NA,0.361382947
4,4,NA,0.364304334
5,5,NA,0.358821753
6,6,NA,0.35950025
7,7,NA,0.359566428
8,8,NA,0.358201519
9,9,NA,0.357141597
10,10,NA,0.357819243
11,11,NA,0.359457278
12,12,NA,0.358648912
13,13,NA,0.356965253
14,14,NA,0.35832017
15,15,NA,0.357457915
16,16,NA,0.355563265
17,17,NA,0.362949255
18,18,NA,0.358122709
19,19,NA,0.357298637
20,20,NA,0.357272077
21,21,NA,0.357984306
22,22,NA,0.359623338
23,23,NA,0.356720962
24,24,NA,0.356894067
25,26,NA,0.355762847
26,27,NA,0.355295568
27,28,NA,0.349568617
28,29,NA,0.350270216
29,30,NA,0.352291332
30,31,NA,0.351653253
31,32,NA,0.354207821
32,33,NA,0.35153421
33,34,NA,0.350882305
34,35,NA,0.35330951
35,36,NA,0.351439327
36,37,NA,0.348688941
37,38,NA,0.352747341
38,39,NA,0.354351612
39,40,NA,0.350122116
40,41,NA,0.353232823
41,42,NA,0.355519408
42,43,NA,0.350833583
43,44,NA,0.352126888
44,45,NA,0.351826443
45,46,NA,0.35075008
46,47,NA,0.350476997
47,48,NA,0.349308267
48,49,NA,0.348719185
49,50,NA,0.351406641
50,51,NA,0.351673516
51,52,NA,0.352118138
52,53,NA,0.352301499
53,54,NA,0.350080211
54,55,NA,0.349080387
55,56,NA,0.350400101
56,57,NA,0.354043952
57,58,NA,0.353141551
58,59,NA,0.352966646
59,60,NA,0.35582191
60,61,NA,0.355125374
61,62,NA,0.354882093
62,63,NA,0.356791912
63,64,NA,0.35709231
64,65,NA,0.358189012
65,66,NA,0.36087939
66,67,NA,0.359891693
67,68,NA,0.361965262
68,69,NA,0.357792616
69,70,NA,0.356577696
70,71,NA,0.356676055
71,72,NA,0.342708257
72,73,NA,0.345263191
73,74,NA,0.346764628
74,75,NA,0.34704956
75,76,NA,0.353242319
76,77,NA,0.358821544
77,78,NA,0.358159251
78,79,NA,0.359976678
79,80,NA,0.361271235
80,81,NA,0.358089717
81,82,NA,0.358760119
82,83,NA,0.359690993
83,84,NA,0.364289213
84,85,NA,0.364245589
85,87,NA,0.344998656
86,88,NA,0.345371892
87,89,0.346369712,0.346659211
88,90,0.344205233,0.344434293
89,91,NA,0.346987196
90,92,0.343374811,0.34727769
91,93,0.345146705,0.347208677
92,94,0.346143821,0.346505302
93,95,0.346506587,0.344713149
94,96,0.344851325,0.346372198
95,97,0.342801333,0.365443826
96,98,0.343850209,0.365009918
97,99,0.343776244,0.366541269
