,DOY,green relative Year2015.C72,green relative Year2014,green relative Year2017
1,1,0.341067498,NA,0.342599649
2,2,0.341477736,NA,0.344969217
3,3,0.342604529,NA,0.343486378
4,4,0.341380132,NA,0.351303616
5,5,0.341933083,NA,0.343184993
6,6,0.342262302,NA,NA
7,7,0.341274449,NA,0.343933146
8,8,0.338885789,NA,0.34362417
9,9,0.340639377,NA,0.342366735
10,10,0.340695419,NA,0.342931836
11,11,0.341372012,NA,0.34225883
12,12,0.34125699,NA,0.3424414
13,13,0.342301215,NA,NA
14,14,0.341290473,NA,0.342888959
15,15,0.340781695,NA,NA
16,16,0.33929011,NA,NA
17,17,NA,NA,0.341273445
18,18,NA,NA,0.3411777
19,19,0.338194466,NA,0.340182379
20,20,NA,NA,0.341838306
21,21,0.340350393,NA,0.343410932
22,22,0.340311915,NA,0.339263055
23,23,0.341613062,NA,0.340738513
24,24,0.341604309,NA,0.35485446
25,26,0.340215907,NA,0.34763226
26,27,NA,NA,0.342578612
27,28,0.340980341,NA,0.34339386
28,29,0.340854539,NA,0.341947288
29,30,NA,NA,0.34072795
30,31,0.341718763,NA,0.341931028
31,32,NA,NA,0.353360111
32,33,0.340710545,NA,0.354788802
33,34,0.340746962,NA,0.34542141
34,35,NA,NA,0.346104729
35,36,NA,NA,0.341878636
36,37,NA,NA,0.339316036
37,38,0.340935609,NA,0.339754541
38,39,0.340335219,NA,0.344732772
39,40,0.340345284,NA,0.344491771
40,41,0.340638119,NA,0.336627197
41,42,0.339612863,NA,0.338342646
42,43,0.340065946,NA,0.341747654
43,44,0.340245288,NA,0.34210862
44,45,0.338064965,NA,0.341379787
45,46,0.339699369,NA,0.340943593
46,47,0.339976224,NA,NA
47,48,0.341128317,NA,NA
48,49,0.33994168,NA,NA
49,51,0.339680313,NA,0.342363754
50,52,0.340375229,NA,0.342421689
51,53,0.341533196,NA,0.342156531
52,54,0.341017311,NA,0.351776939
53,55,0.339765154,NA,0.352415942
54,56,0.339252913,NA,0.346271066
55,57,0.341233399,NA,0.345419608
56,58,NA,NA,0.347011372
57,59,0.341035316,NA,0.346455717
58,60,0.340178223,NA,0.34587694
59,61,0.33851822,NA,0.345407231
60,62,0.342259808,NA,0.346462484
61,63,0.343308716,NA,0.343518821
62,64,0.342145546,NA,0.342716895
63,65,0.342667524,NA,0.344357786
64,66,NA,NA,0.343984091
65,67,0.338827404,NA,0.340896065
66,68,NA,NA,0.340816461
67,69,0.340346961,NA,0.340523344
68,70,NA,NA,0.34276622
69,71,NA,NA,0.342386312
70,72,0.339538359,NA,0.341692805
71,73,NA,NA,0.341731403
72,74,0.339377346,NA,0.341902016
73,75,NA,NA,0.344816196
74,76,0.338960296,NA,0.344480138
75,77,0.340808084,NA,0.344748435
76,78,NA,NA,0.344846621
77,79,0.340958115,NA,0.345271271
