,DOY,green relative Year2015.C94,green relative Year2014,green relative Year2013
1,1,0.319407858,0.316668702,0.318115275
2,2,0.313904616,0.316218711,0.317472818
3,3,0.309148184,0.315320138,0.319703107
4,4,0.315648956,0.316561018,0.314867417
5,5,0.31918762,0.315101732,0.31377122
6,6,0.319833162,0.318573833,0.312780188
7,7,0.322730809,NA,0.313914522
8,8,0.320130615,0.316716511,0.314531794
9,9,0.32111552,0.316217775,0.314851922
10,10,0.319715991,0.323730476,0.315714842
11,11,0.314946384,NA,0.315485292
12,12,0.316719485,0.316489366,NA
13,13,0.32732814,NA,0.316654267
14,14,0.32467159,0.316875355,0.325879607
15,15,0.316351229,0.327025678,0.323651658
16,16,0.320496489,0.317158356,0.322250319
17,17,0.320229877,0.310159886,0.327495777
18,18,0.314198096,NA,0.31537206
19,19,0.320415093,NA,0.314473798
20,20,0.321140322,NA,0.314669882
21,21,0.320558441,0.317280362,0.317180156
22,22,0.314123449,NA,0.316455965
23,23,0.325107965,0.311472108,0.315708807
24,24,0.316993474,NA,0.315589884
25,25,0.318945286,NA,0.327621211
26,26,0.321518109,NA,0.315094312
27,27,0.313651672,NA,0.317212869
28,28,0.319317899,NA,0.313691219
29,29,0.320122244,0.317111122,0.316164952
30,30,NA,0.318984713,0.316727431
31,31,0.319289584,NA,0.314066394
32,32,0.318615028,0.317746396,0.314083383
33,33,NA,0.315992721,0.323974961
34,34,NA,0.316187154,0.315639652
35,35,0.317349772,0.317320848,0.31495832
36,36,0.32084944,0.314239429,0.316658946
37,37,0.315951559,0.320633313,0.315367995
38,38,0.322302636,0.315084295,0.316305596
39,39,0.321134184,0.314474121,0.315785723
40,40,0.327066103,0.314746329,0.314226342
41,41,0.320102179,0.324992781,0.317625408
42,42,0.321252956,0.323367758,0.325476075
43,43,0.316344225,0.324679173,0.315045429
44,44,0.317186456,0.323810811,0.316034411
45,45,0.319570408,0.316567875,0.314148488
46,46,NA,0.315500097,0.315855174
47,47,0.321085709,0.317125246,0.319532791
48,48,0.322289233,0.314801058,0.31653588
49,49,0.320619545,0.317081956,0.315023698
50,50,0.318540573,0.314484328,0.314267728
51,51,0.321036496,0.319234453,0.316137534
52,52,0.321597338,0.316288783,0.317768125
53,53,NA,0.317559428,0.326316974
54,54,0.321351137,NA,0.324126475
55,55,0.323903496,NA,NA
56,56,0.314380529,0.315199183,0.314071826
57,57,0.32411885,0.316062687,0.32985498
58,58,0.321215342,0.317573053,0.313878045
59,59,0.318007962,0.315516315,0.318210084
60,60,0.314613416,0.318985659,0.318713201
61,61,0.322696218,0.316836842,NA
62,62,0.324042363,0.321856826,NA
63,63,0.321665834,0.321183562,0.316512896
64,64,0.30100305,0.316933624,0.328112036
65,65,0.315451886,0.315907657,0.322304623
66,66,0.321043804,0.315477304,0.313557633
67,67,0.321622651,NA,0.315544649
68,68,0.31605734,NA,0.317657308
69,69,0.316770422,0.316168276,0.316634304
70,70,0.38498579,0.318321405,0.314214839
71,71,NA,0.315970885,0.312101646
72,72,0.324210746,0.31597296,0.311571417
73,73,0.323561007,0.316315571,0.316108429
74,74,0.320208985,0.314959081,0.317158664
75,75,0.320606541,0.327618522,0.315271106
76,76,0.32237249,0.322151958,0.314536196
77,77,0.319882313,0.315923667,0.319566833
78,78,0.328269566,0.314269851,0.312847908
79,79,0.314645797,0.315126758,NA
80,80,0.321142805,0.315890261,NA
81,81,0.32271363,0.315734583,NA
82,82,0.319447092,0.32573312,NA
83,83,0.319613508,0.314468669,0.32289868
84,84,0.323165672,0.31965501,0.31985927
85,85,0.317471859,0.318433094,NA
86,86,0.323536599,0.31479356,0.312578958
87,87,0.320473073,0.318937167,0.314815525
88,88,0.320808074,0.311795909,0.317635716
89,89,0.319255723,0.316654038,0.314932789
90,90,0.321612435,0.316738767,0.319110656
91,91,0.321109021,0.316386199,0.31548948
92,92,0.321000521,NA,0.314957628
93,93,0.319151476,0.316822773,0.313568042
94,94,0.320482098,0.32093811,0.32593604
95,95,0.318573298,0.310981981,0.323470224
96,96,0.31702817,0.314269999,0.316158271
97,97,0.311976728,0.315421821,0.315679576
98,98,0.323501898,0.313717355,0.316368475
99,99,0.319609014,0.304503527,0.318104145
100,100,0.318530293,0.315205999,0.316791327
101,101,0.32023866,0.314823253,0.31703161
102,102,0.322019427,0.313342654,0.312373558
103,103,0.319092728,0.316478149,0.315859288
104,104,0.325857097,0.313013456,0.317874773
105,105,0.326634272,0.324069319,0.315953333
106,106,0.319214324,0.313944824,0.313670412
107,107,0.322233064,0.316776883,0.325663819
108,108,0.320443223,0.31704012,0.321258496
109,109,0.329393731,0.317438078,0.324259674
110,110,0.324440834,0.315895118,NA
111,111,0.323872616,0.317235054,NA
112,112,0.325373176,0.312601411,0.317379395
