,DOY,green relative Year2015.C78,green relative Year2014,green relative Year2017
1,1,0.319994283,NA,0.318547594
2,2,0.318427994,NA,0.315068213
3,3,NA,NA,0.31766193
4,4,0.31993993,NA,0.316478256
5,5,NA,NA,0.310236069
6,6,0.320802925,NA,0.307230687
7,7,0.319201221,NA,0.307690172
8,8,NA,NA,0.308141785
9,9,0.321420285,NA,0.313514689
10,10,0.318964956,NA,0.313233388
11,11,NA,NA,0.314591652
12,12,NA,NA,0.313260758
13,13,0.319202156,NA,0.314838776
14,14,0.319861946,NA,0.312793576
15,15,0.32137152,NA,0.312211413
16,16,0.320115985,NA,0.309940887
17,17,0.318049669,NA,0.312728046
18,18,0.320531328,NA,NA
19,19,NA,NA,0.30972114
20,20,0.318784538,NA,NA
21,21,0.320264775,NA,0.312557872
22,22,0.318604785,NA,0.319266332
23,23,0.319943949,NA,0.3153849
24,24,NA,NA,0.311608504
25,25,0.318082896,NA,NA
26,26,0.321072114,NA,0.31853475
27,27,0.318409462,NA,0.318880279
28,28,0.319443639,NA,0.320770063
29,29,0.319875341,NA,0.32424724
30,32,0.318851513,NA,0.321170251
31,33,0.319167149,NA,0.32512135
32,34,0.320418299,NA,0.324930349
33,35,0.3199141,NA,0.32469602
34,36,0.319685635,NA,0.320233897
35,37,0.321795773,NA,0.317280243
36,38,0.322970353,NA,0.313163169
37,39,0.321338475,NA,0.309640912
38,40,0.317906059,NA,0.317615826
39,41,0.319576474,NA,0.319122503
40,42,NA,NA,0.32920703
41,43,0.318688522,NA,0.32938934
42,44,0.319035996,NA,0.329024654
43,45,NA,NA,0.329249365
44,46,NA,NA,0.329715683
45,47,NA,NA,0.329081518
46,49,0.320225732,NA,NA
47,50,0.31910482,NA,NA
48,51,NA,NA,0.332974475
49,52,0.317474135,NA,0.331827771
50,53,0.318546766,NA,0.330663772
51,54,0.318874489,NA,0.333258964
52,55,NA,NA,0.32896189
53,56,0.318205623,NA,0.33434239
54,57,NA,NA,0.335405304
55,58,0.318910224,NA,0.340744656
56,59,0.320504728,NA,0.34067714
57,60,0.317836322,NA,0.341998862
58,61,0.319730921,NA,0.338568526
59,62,0.319754688,NA,0.332498171
60,63,0.318719504,NA,0.330499187
61,64,0.319950822,NA,0.332416098
62,65,NA,NA,0.334155525
63,66,0.320550036,NA,0.333421215
64,67,0.319386483,NA,0.334315923
65,68,0.320208561,NA,0.334518926
66,69,0.319740548,NA,NA
67,71,0.321155236,NA,NA
68,72,0.320975204,NA,NA
69,74,0.321613239,NA,NA
