,DOY,green relative Year2015.C80,green relative Year2014,green relative Year2017
1,1,0.345234499,NA,0.329247327
2,2,0.341942703,NA,NA
3,3,0.342263504,NA,0.328908195
4,4,0.346707602,NA,0.331005392
5,5,0.341813771,NA,0.336306651
6,6,0.343663539,NA,NA
7,7,0.346381865,NA,0.3360472
8,9,0.343965333,NA,0.332885872
9,10,0.341373679,NA,0.336505561
10,11,0.344261135,NA,0.335581189
11,12,NA,NA,0.340929275
12,13,0.339868968,NA,0.327236254
13,14,0.343258332,NA,0.337733049
14,15,0.341263676,NA,NA
15,16,0.340016159,NA,NA
16,17,0.33965065,NA,0.337189435
17,18,0.340785206,NA,0.332663139
18,19,NA,NA,0.323337049
19,21,0.337857763,NA,0.332461876
20,22,NA,NA,0.332595478
21,23,NA,NA,0.332150502
22,24,0.338724063,NA,0.333945006
23,26,0.337058887,NA,0.341314896
24,27,0.337111925,NA,0.334703132
25,28,NA,NA,0.332746202
26,29,0.338466641,NA,0.332096014
27,30,NA,NA,0.330873329
28,31,0.338515939,NA,NA
29,32,0.345451025,NA,NA
30,34,0.34500012,NA,0.334916721
31,35,0.341248372,NA,0.331846707
32,36,0.345370222,NA,0.328980392
33,37,0.343030766,NA,0.329618891
34,38,0.340519413,NA,0.330514553
35,39,NA,NA,0.33981665
36,40,0.339552743,NA,0.339521905
37,41,0.343597003,NA,0.332876047
38,42,0.34194904,NA,0.330717632
39,43,NA,NA,0.335225482
40,44,0.341978022,NA,0.33265481
41,45,0.340024207,NA,0.332603226
42,46,NA,NA,0.330308192
43,47,0.338355938,NA,0.334460576
44,48,0.339142864,NA,0.330681411
45,49,0.341926783,NA,0.330609236
46,50,0.339463919,NA,NA
47,51,0.338976559,NA,0.331315262
48,52,0.337977895,NA,NA
49,53,0.339716085,NA,NA
50,54,0.339724815,NA,NA
51,55,0.339773892,NA,NA
52,56,0.338977887,NA,0.338472912
53,57,0.340772599,NA,NA
54,58,0.337968132,NA,NA
55,59,0.339116667,NA,NA
56,60,0.340461005,NA,NA
57,61,0.338897842,NA,0.325356462
58,62,0.340090439,NA,0.33107525
59,63,0.339651116,NA,0.33178291
60,64,0.339501936,NA,0.331660773
61,66,0.337795084,NA,NA
62,67,0.336767525,NA,NA
63,68,0.337162323,NA,0.332397247
64,69,0.334619785,NA,0.33055324
65,70,0.335723591,NA,NA
66,71,0.335703688,NA,NA
67,72,0.336227578,NA,0.332799582
68,73,0.335436252,NA,NA
69,74,NA,NA,0.338310632
70,75,0.336253779,NA,0.330752885
71,77,NA,NA,0.332052198
72,78,NA,NA,0.331235032
73,79,0.334712248,NA,NA
74,80,0.335749761,NA,0.329268972
75,81,0.33700646,NA,0.33140632
76,82,0.336844169,NA,0.328878208
77,83,0.333433659,NA,0.329293936
78,84,0.337694017,NA,0.32969362
79,85,0.337850423,NA,0.329471447
80,86,0.338981689,NA,0.330010076
81,87,0.336867374,NA,NA
82,88,0.339167408,NA,0.328968355
83,89,0.33705115,NA,NA
84,90,0.335960794,NA,0.329092582
85,91,0.335442513,NA,0.332003634
86,92,0.336917317,NA,0.330981229
87,93,0.339412064,NA,0.330065023
88,94,0.337182843,NA,0.329786731
89,95,0.336754382,NA,0.328537457
90,96,0.333948711,NA,0.329990616
91,97,0.333586396,NA,0.331279032
92,98,0.335410894,NA,NA
93,99,0.335918449,NA,0.32999053
94,100,0.339748623,NA,NA
95,101,0.341677148,NA,0.329029021
96,102,0.342245221,NA,0.332420307
97,103,0.343268146,NA,0.332631309
98,104,0.343184595,NA,0.328992271
99,105,0.344518178,NA,0.328703128
100,106,0.344476453,NA,0.328570219
101,107,NA,NA,0.32980773
102,108,0.34864328,NA,0.329125595
103,109,0.347400119,NA,0.33204366
104,110,0.349982922,NA,NA
105,111,0.351777908,NA,0.328944011
106,112,0.348404362,NA,0.329027111
107,113,0.350539543,NA,0.32873644
108,114,0.35284241,NA,0.328752442
109,115,0.351444083,NA,0.330980321
110,116,0.35571522,NA,0.330705815
111,117,0.355593094,NA,0.329819565
112,118,0.35373829,NA,0.32902622
113,119,0.355930726,NA,0.329561094
114,121,NA,NA,0.328318163
115,122,0.36836229,NA,NA
116,123,0.367345053,NA,0.331605291
117,125,NA,NA,0.327113674
