,DOY,green relative Year2015.C53,green relative Year2014,green relative Year2013
1,1,0.323568198,0.327887055,0.327620444
2,2,0.327541763,NA,NA
3,3,0.324914985,NA,NA
4,4,0.339726662,0.333119265,NA
5,5,0.32666705,0.329303207,NA
6,6,0.324471227,NA,NA
7,7,0.323800437,NA,0.328510993
8,8,0.322610376,0.33111743,NA
9,9,0.326856959,0.332381344,NA
10,10,0.327069139,NA,NA
11,11,0.32446685,NA,0.315045695
12,12,0.324208493,0.329396791,NA
13,13,0.326101399,0.331287089,0.315690965
14,14,0.326534862,0.330059557,NA
15,15,0.324163625,NA,NA
16,16,0.325884456,NA,NA
17,17,0.322590144,0.325669121,0.322673303
18,18,0.326856322,NA,0.327585172
19,19,0.324622562,NA,0.319500375
20,20,0.326882073,NA,0.305175972
21,21,0.32710013,NA,NA
22,22,0.327305941,0.328510359,0.317547419
23,23,0.32547585,NA,NA
24,24,0.327173372,NA,NA
25,25,0.326638518,NA,NA
26,26,0.325228822,NA,NA
27,27,0.326563171,NA,NA
28,28,0.328178428,NA,0.317292845
29,29,0.325537037,NA,NA
30,30,NA,0.331436956,NA
31,31,0.324750034,0.326348508,NA
32,32,0.324415818,0.329831291,NA
33,33,0.32277102,0.328503519,0.316320461
34,34,0.322193608,NA,NA
35,35,0.328734924,0.329086915,0.327237662
36,36,0.32473935,0.326217805,NA
37,37,0.325011477,NA,NA
38,38,0.322133081,0.326167372,NA
39,39,0.336641099,0.331315868,0.319185033
40,40,0.336283755,0.327584565,NA
41,41,0.335278262,0.33053313,NA
42,42,0.334600004,0.332597888,0.320050851
43,43,0.332855438,0.330840789,0.306617419
44,44,0.329639031,NA,0.321707436
45,45,0.334232597,0.327309435,0.326446071
46,46,0.323836555,NA,0.317435547
47,47,0.324763372,0.329191121,0.326938188
48,48,0.323586265,0.331828515,NA
49,49,0.322954874,NA,0.327737058
50,51,0.324480721,0.329498564,0.320116426
51,52,0.325932201,0.324779042,NA
52,53,0.324920974,NA,NA
53,54,0.323698131,0.331146595,0.315537862
54,55,0.322948515,0.328309474,0.318520052
55,56,0.323008302,NA,NA
56,57,0.323549618,0.325969073,0.326061383
57,58,0.32524033,0.328068388,0.328636756
58,59,0.324509551,NA,0.315205702
59,60,0.323234452,0.329014218,0.316379605
60,61,0.323903251,NA,NA
61,62,NA,0.33010511,NA
62,63,0.326575603,NA,0.327913292
63,64,0.32273736,NA,NA
64,65,0.324035894,NA,0.324548152
65,66,0.325788083,NA,0.322349279
66,67,0.324134075,NA,0.328179876
67,68,0.32749087,0.332203737,0.330588174
68,69,0.327355781,NA,NA
69,70,0.326753058,NA,0.32646723
70,71,0.326372199,NA,0.321841063
71,72,0.326563114,NA,0.313725324
72,73,0.325765606,NA,0.317906847
73,74,0.325165709,0.327054072,NA
74,75,0.326319167,NA,0.319797688
75,76,0.326423438,NA,0.326846111
76,77,0.325260462,NA,0.321106181
77,78,0.326242041,0.331309911,0.317076546
78,79,0.32579964,NA,NA
79,80,0.317089473,NA,0.324239622
80,81,0.324790018,NA,NA
81,82,0.324989041,0.331750553,0.321868674
82,83,0.326950974,NA,NA
83,84,0.326048957,NA,NA
84,85,0.327550168,NA,0.329942571
85,86,0.325653266,0.329699411,NA
86,87,0.326471723,0.330044277,0.324861343
87,88,0.326861692,NA,0.322170452
88,89,0.327454338,0.328847894,0.332220712
89,90,0.327666943,NA,0.328947471
90,91,0.327686982,0.333047516,0.32962348
91,92,0.328980232,0.333240244,0.32569395
92,93,0.329693818,0.334663141,0.330875848
93,94,0.325170383,0.331353662,0.331416125
94,95,0.325662548,NA,NA
95,96,0.323902754,NA,NA
96,97,0.325601659,NA,0.319475906
97,98,0.32726112,NA,0.331534202
98,99,0.326233014,NA,NA
99,100,0.329243562,0.335688467,NA
100,101,0.328696662,NA,NA
101,102,0.328720943,NA,NA
102,104,0.330358145,NA,0.318485661
103,105,0.331311592,NA,NA
104,106,0.331612971,NA,0.318374088
105,107,0.333917602,NA,0.333093717
106,108,0.333089949,NA,NA
107,109,0.333398671,NA,0.308943308
108,110,0.324970411,NA,0.316348718
109,111,0.33235461,NA,0.332944254
110,112,0.329023942,NA,NA
111,113,0.328690118,NA,0.334289844
112,114,0.330430571,NA,0.324587089
113,115,0.332096303,NA,0.33533876
114,116,0.33260769,NA,0.327655173
115,117,0.333873249,NA,NA
116,118,0.335354576,NA,0.337576532
117,119,0.336187586,NA,0.324112575
118,120,0.336166543,NA,NA
119,121,0.337585297,NA,0.341819266
120,122,0.339822015,NA,0.350727842
121,123,0.339492649,NA,0.359858026
122,124,0.342990415,NA,0.364336861
123,125,0.349852924,NA,0.370939776
124,126,0.353754872,0.323935075,0.378499374
125,127,0.362806615,0.321946458,0.38612565
126,128,0.374240908,0.318894747,0.396579998
127,129,0.392951548,NA,0.399347825
128,130,0.411582047,0.325366386,NA
129,131,0.415921182,0.324925641,0.395682369
130,132,0.412595723,0.33288575,NA
131,133,0.417883934,0.343955286,0.387339612
132,134,0.411017059,0.35494581,0.402474462
133,135,0.416129909,NA,NA
134,136,0.429943092,0.387285459,0.408021502
135,137,0.425128732,0.380973587,0.405659497
136,138,0.437576026,0.381607018,NA
137,139,0.4428623,0.389822629,0.408249194
138,140,0.439386903,0.38871556,0.413792505
139,141,0.437995225,0.404900909,0.404477236
140,142,0.436687375,0.401733297,0.41061615
141,143,0.434391915,0.413550424,0.407504304
142,144,0.437824086,0.42075941,NA
143,145,0.449082207,0.421285084,NA
144,146,0.453013623,0.424046167,NA
145,147,0.453541217,0.435248921,0.417534902
146,148,0.454300686,0.434180736,0.396961873
147,149,0.452380198,0.43012139,0.396272023
148,150,0.45142187,0.427780847,0.417112522
149,151,0.457237604,0.423089747,NA
150,152,0.466464696,0.42268631,NA
151,153,NA,0.427737257,NA
152,154,0.448219509,0.437267873,NA
153,155,0.449762026,0.424292632,0.409977196
154,156,0.456910331,0.441245021,0.393570224
155,157,0.450696802,NA,0.384457266
156,158,0.446658637,0.420327562,0.385061191
157,159,NA,0.42101427,0.404032197
158,160,0.451664872,NA,0.391946102
159,161,0.444374881,0.4227359,0.389128067
160,162,0.446714557,0.469122169,0.39557462
161,163,0.456015375,0.43095235,0.40729533
162,164,0.449491947,0.424853504,0.384187399
163,165,0.450014218,0.425033063,0.405042095
164,166,0.449136329,NA,0.390899667
165,167,0.449405611,0.424619666,NA
166,168,0.44339439,0.419120551,0.374481506
167,169,0.44447394,0.421359406,0.401805572
168,170,0.446963046,0.414678664,0.401302931
169,171,0.443737352,0.411834048,0.403701438
170,172,0.445779862,0.412985922,0.404269284
171,173,NA,0.409757522,0.382862429
172,174,0.437840488,NA,0.380692098
173,175,0.444160492,0.418867588,0.390497578
174,176,0.442052651,0.421537918,0.383003595
175,177,0.444784695,0.416637368,0.391021915
176,178,0.442350603,0.412800695,0.381881091
177,179,0.454107258,0.417715889,0.375992138
178,180,0.440601104,0.422713362,0.375906801
179,181,0.447925995,0.416674609,NA
180,182,0.449065488,NA,0.388672759
181,183,0.4412687,0.417360556,0.371737498
182,184,0.441978811,0.414797847,0.393417313
183,185,0.442421808,0.408126502,0.388507231
184,186,0.452324037,0.413070357,0.3742969
185,187,0.442059469,0.411054316,0.396738445
186,188,0.44140344,0.411949985,0.368407338
187,189,0.44079947,0.414641291,0.394312791
188,190,0.440255274,0.405289095,0.389139971
189,191,0.441052775,0.409111122,0.383451022
190,192,0.443256333,0.40801386,NA
191,193,0.445096366,0.412543091,0.388305384
192,194,0.445409358,0.417317569,0.371434659
193,195,0.446560647,0.413203444,0.389286225
194,196,0.441865598,0.415696965,0.398637906
195,197,0.438755834,0.409195649,0.399636802
196,198,0.443780892,0.409681558,0.399411894
197,199,0.439724458,0.411615484,0.377955109
198,200,0.444341684,0.409463832,0.39599556
199,201,0.449641759,NA,NA
200,202,NA,0.408950093,0.395566163
201,203,0.439867445,0.409466401,0.394027531
202,204,0.441667452,0.411416661,0.395569758
203,205,0.438432677,0.402717873,0.376162144
204,206,0.439032807,0.40584212,0.394008853
205,207,0.438538904,0.41500132,0.39345593
206,208,NA,NA,0.384478228
207,209,0.441350254,NA,0.377747375
208,210,0.44366938,NA,0.385697152
209,211,0.441083732,NA,0.396148849
210,212,0.436411132,NA,0.390852547
211,213,0.436594152,NA,NA
212,215,0.438504907,NA,NA
213,216,0.433924646,NA,NA
214,217,0.433287972,NA,NA
215,218,0.429463101,NA,NA
216,219,0.429584363,NA,NA
217,220,0.431831779,NA,NA
218,221,0.432641168,NA,NA
219,222,0.434654694,NA,NA
220,223,0.435773387,NA,NA
221,224,0.434548027,NA,NA
222,225,0.427632763,NA,NA
223,226,0.437400741,NA,NA
224,227,0.432479717,NA,NA
225,228,0.433949829,NA,NA
226,229,0.435323519,NA,NA
227,230,0.437047999,NA,NA
228,231,0.430444868,NA,NA
229,232,0.434045431,NA,NA
230,233,0.429504805,NA,NA
231,234,0.436352079,NA,NA
232,235,0.431722881,NA,NA
233,236,0.428865268,NA,NA
234,237,0.434686592,NA,NA
235,238,0.431530947,NA,NA
236,239,0.429206178,NA,NA
237,240,0.432142161,NA,NA
238,241,0.426865334,NA,NA
239,242,0.431060301,NA,NA
240,243,0.42678767,NA,NA
241,244,0.426444354,NA,NA
242,245,0.425427547,NA,0.383049589
243,246,0.428062497,NA,0.375176188
244,247,0.419815825,NA,0.377404914
245,248,0.427661008,NA,0.366969356
246,249,0.426457875,NA,0.3899549
247,250,0.429788465,NA,0.374638197
248,251,0.424088425,NA,0.385823124
249,252,0.422543575,NA,NA
250,253,0.419279157,NA,0.369202906
251,254,0.412106526,NA,0.385230324
252,255,0.423474202,NA,0.36565385
253,256,0.420556288,NA,0.361307947
254,257,0.410603345,NA,0.377130049
255,258,0.408561192,NA,0.369025107
256,259,0.407503743,NA,0.366173431
257,260,0.406487241,NA,0.373418951
258,261,0.403877756,0.371865762,0.371367537
259,262,0.41313583,0.371528651,0.370389886
260,263,0.400575253,0.38736763,0.368124811
261,264,0.400867594,0.393048087,0.347513215
262,265,0.395309158,NA,0.33343547
263,266,0.393061039,NA,NA
264,267,0.392031605,NA,0.355734859
265,268,0.39610036,NA,NA
266,269,0.383368263,NA,0.353784006
267,270,0.380966594,NA,0.354562775
268,271,0.386276032,NA,0.348965625
269,272,0.392138028,NA,0.352650748
270,273,0.388516095,0.35184324,0.346316081
271,274,0.377573366,NA,0.339493973
272,275,0.379756067,NA,0.346046024
273,276,0.378343317,NA,0.343098442
274,277,0.369407071,NA,0.331171232
275,278,0.371357214,NA,0.337668598
276,279,0.366078359,NA,0.330458662
277,280,0.363879065,NA,0.320569433
278,282,0.346567907,NA,0.343005477
279,283,0.336770092,0.354482639,NA
280,284,0.342794738,0.348720913,0.340202401
281,285,0.332190029,0.343586194,0.340971102
282,286,0.332288805,0.349581719,NA
283,287,0.325587411,0.345762529,0.319078913
284,288,0.330038804,NA,NA
285,289,0.333696723,0.339134087,0.329676731
286,290,0.327117792,0.326149424,0.336904081
287,291,0.328781093,0.333849304,0.326497707
288,292,0.334639589,0.331707889,NA
289,293,0.340219528,0.328008836,0.327470515
290,294,0.335176499,0.330646826,0.323231276
291,295,0.329912471,0.333828942,0.333132332
292,296,0.329050895,0.333288495,0.332761207
293,297,NA,0.329563039,NA
294,298,NA,0.331144658,0.320846705
295,299,NA,0.327974481,NA
296,300,0.321795058,0.327486688,NA
297,301,0.321392975,0.328007708,0.331044935
298,302,NA,0.327422652,NA
299,303,0.318884644,0.328792504,NA
300,304,0.31561744,0.329103293,NA
301,305,0.320293751,0.329479629,NA
302,306,0.317348187,0.329422026,NA
303,307,0.320843582,0.330537945,0.331912689
304,308,0.32436753,0.334039591,0.330796297
305,309,0.327867535,0.336379465,NA
306,310,0.323415522,0.335193168,0.328598104
307,311,0.334761193,0.335964327,NA
308,312,0.334962648,0.333433952,0.3255509
309,313,0.334804759,0.336143989,NA
310,314,0.334769636,0.337916723,NA
311,315,0.335172377,0.336280982,NA
312,316,0.326595546,0.335420194,NA
313,317,0.332822967,0.333264943,0.320016333
314,318,0.331919088,0.332444037,NA
315,319,0.334821469,0.33394059,NA
316,320,0.336089411,0.331763304,0.336208545
317,321,0.333560359,0.331311813,0.312452608
318,322,0.335399189,0.332798073,NA
319,323,0.32556803,0.331867506,0.317658959
320,324,NA,0.332144269,NA
321,325,NA,0.333531154,0.319490632
322,326,NA,0.335400344,NA
323,327,0.332626851,0.334017479,NA
324,328,0.330776042,0.335179109,0.328593511
325,329,0.333706267,0.333944452,0.311096691
326,330,0.330551009,0.331931462,NA
327,331,0.335786584,NA,NA
328,332,0.329318818,NA,0.328608234
329,333,0.329595481,NA,0.328963826
330,334,0.329284481,NA,0.31981914
331,335,0.325283913,NA,0.321322326
332,336,0.327810041,0.331286053,0.312291466
333,337,0.328024861,0.331887865,0.317058199
334,338,0.331172247,0.33075323,0.316184412
335,339,0.332179507,0.330853613,NA
336,340,0.329662352,0.328594431,NA
337,341,0.329295243,0.330535993,NA
338,342,0.331169295,0.330876237,NA
339,343,0.330607984,0.332047281,0.305738656
340,344,0.332752953,0.327121231,NA
341,345,0.331052643,0.328780242,NA
342,346,0.332423324,0.32811622,0.314712034
343,347,0.330894019,0.330095192,0.327548729
344,348,0.330198456,0.329016482,NA
345,349,0.329901341,0.329066061,NA
346,350,0.329587951,0.329756792,NA
347,351,0.320817308,0.323125241,NA
348,352,0.328463883,0.329063287,NA
349,353,NA,0.330378407,0.325200387
350,354,0.330771667,0.329978923,NA
351,355,0.31794343,0.328964883,NA
352,356,0.325384692,0.332751785,NA
353,357,0.327839998,0.328313957,NA
354,358,0.331831063,0.332396797,0.323123578
355,359,0.331065091,0.329311322,NA
356,360,0.329925123,0.332071199,0.328997776
357,361,0.319748289,0.330068199,0.327950568
358,362,0.328994833,0.329115196,0.326806909
359,363,0.337761276,0.328718508,NA
360,364,0.336359168,0.328627401,NA
361,365,0.333546758,0.326725869,0.328269621
