,DOY,green relative Year2015.C42,green relative Year2014,green relative Year2013
1,1,0.338849175,0.338180652,0.333365729
2,2,0.337489959,0.337276919,0.337717428
3,3,0.336785777,0.339585768,0.336424503
4,4,0.335830218,0.340034782,0.334234636
5,5,0.336258113,0.336519776,0.334607121
6,6,0.33807051,0.336730275,0.335358823
7,7,0.337570112,NA,0.341120095
8,8,0.337698983,0.339009996,0.338168422
9,9,0.336573139,0.338999405,0.34146632
10,10,0.336044491,0.340438862,0.335951253
11,11,0.336414546,0.339809994,0.337339214
12,12,0.337001298,NA,0.335392396
13,13,0.336093696,0.338997869,0.333672311
14,14,0.33577391,0.338518894,0.33542703
15,15,0.33866244,0.336461149,0.335166522
16,16,0.337579227,0.339049473,0.338117201
17,17,0.335636947,NA,0.336255291
18,18,0.337597804,NA,0.335856544
19,19,0.339073774,NA,0.339247004
20,20,0.335606475,NA,0.333210077
21,21,0.340800913,0.336651646,0.334120457
22,22,0.34018179,0.334948416,0.334681238
23,23,0.337323466,0.337782628,0.334204394
24,24,0.341111275,0.337359557,0.33583629
25,25,0.336555397,0.336715094,0.336029562
26,26,0.338462621,0.339541124,0.336074485
27,27,0.337706973,0.335711008,0.336867383
28,28,0.336922291,0.337442186,0.336330031
29,29,0.334752389,0.337394788,0.338878204
30,30,NA,0.335281588,0.33581138
31,31,0.336344284,NA,0.334224516
32,32,0.336153061,NA,0.334823114
33,33,0.335421467,NA,0.337857797
34,34,0.336839069,0.336592193,0.339163096
35,35,0.336423529,0.336722856,0.335212807
36,36,0.336755821,0.336009491,0.336482852
37,37,0.33677824,0.337503872,0.337263529
38,38,0.336591663,0.337592704,0.335017138
39,39,0.336612884,0.337228248,0.334595538
40,40,0.337137844,0.336787615,0.33680933
41,41,0.337032124,0.337660667,0.336992987
42,42,0.335089902,0.337272858,0.337708668
43,43,0.336028308,0.340097848,0.343100215
44,44,0.337501089,0.337160614,0.335612326
45,45,0.337632383,0.339727853,0.339028795
46,46,0.33521868,0.340442309,0.338290304
47,47,0.335411143,0.338305268,0.339253274
48,48,0.337693944,0.341560836,0.335935506
49,49,0.335385747,0.33682113,0.336226621
50,50,0.337466313,0.337833766,0.334525419
51,51,0.335307622,0.336467802,0.335689656
52,52,0.336527196,0.33655274,0.334499347
53,53,0.336401737,0.336119384,0.341283335
54,54,0.337158273,0.336563837,0.339666491
55,55,0.337903189,0.336204092,0.336472715
56,56,0.338743315,0.335743002,0.337041573
57,57,0.337680973,0.335523173,0.334811192
58,58,0.339177339,0.335970194,0.335664335
59,59,0.337679897,0.337073001,0.33424711
60,60,0.337556606,0.338811619,0.335164402
61,61,0.336653936,0.33652242,0.334803931
62,62,0.337723348,0.336093579,0.333906644
63,63,0.335895405,0.33551397,0.337277802
64,64,0.335946987,0.341451875,0.335747585
65,65,0.335282058,0.339173573,0.338285927
66,66,0.335579994,0.339657408,0.334867248
67,67,0.337310857,0.336925438,0.334892603
68,68,0.336088803,0.337073426,0.335867883
69,69,0.336602568,0.336854845,0.336897375
70,70,0.336066428,0.337662716,0.335748546
71,71,0.335830178,0.335390643,0.338644003
72,72,0.335277882,0.335318878,0.335197718
73,73,0.336225115,0.335316259,0.335182833
74,74,0.335683594,0.335258278,0.334888057
75,75,0.334441488,0.334942149,0.334167232
76,76,0.334220663,0.335408175,0.334538017
77,77,0.333695915,0.338805532,0.336557739
78,78,0.334073352,0.336128366,0.337563408
79,79,0.335164608,0.335914106,0.335347234
80,80,0.334787021,0.335695807,0.335494865
81,81,0.333900591,0.33442317,0.334311366
82,82,0.333683752,0.33404231,0.335088708
83,83,0.334760753,0.337040409,0.334117423
84,84,0.334398782,0.333937124,0.335508335
85,85,0.33396338,0.334966622,0.333939198
86,86,0.334353557,0.341159351,0.333052327
87,87,0.334165682,0.336101374,0.331667558
88,88,0.334467302,0.336115513,0.332588214
89,89,0.33460424,0.335529121,0.330795828
90,90,0.334798874,0.33594171,0.332272287
91,91,0.333407396,0.335127782,0.330698613
92,92,0.333299767,0.33493205,0.330251841
93,93,0.333762304,0.337118203,0.32905765
94,94,0.335106738,0.335722163,0.329894813
95,95,0.334380033,0.335047749,0.332547078
96,96,0.333058369,0.334744613,0.332710588
97,97,0.334825819,0.334582023,0.331000381
98,98,0.333838184,0.334270905,0.331318807
99,99,0.334618372,0.334865283,0.337116886
100,100,0.33418657,0.335002942,0.335415995
101,101,0.333541806,0.33453331,0.338228389
102,102,0.333896084,0.335055781,0.336120892
103,103,0.333476927,0.334417853,0.33571298
104,104,0.333766866,0.334426761,0.336632643
105,105,0.335061738,0.333792529,0.335270414
106,106,0.336194233,0.335433495,0.334547537
107,107,0.335987508,0.335107526,0.335562746
108,108,0.338177991,0.334785337,0.336622412
109,109,0.340064309,0.334813718,0.3355416
110,110,0.339456599,0.334354424,0.334939784
111,111,0.337816415,0.333971895,0.336007977
112,112,0.33965339,0.334281551,0.339661799
113,113,0.340190097,0.334832527,0.334221285
114,114,0.340365236,0.336449548,0.334498591
115,115,0.339477438,0.335357333,0.334415174
116,116,0.343012706,0.336985764,0.330052193
117,117,0.344677285,0.336473681,0.329381818
118,118,0.344466569,0.338921115,0.331258861
119,119,0.347495162,0.340014285,0.329798032
120,120,0.349117399,0.337538853,0.332133753
121,121,0.353696535,0.337115565,0.332759153
122,122,0.355978759,0.337751178,0.331442105
123,123,0.358520693,0.339009004,0.331511338
124,124,0.362152072,0.337466395,0.332758362
125,125,0.35781791,0.338695621,0.336107199
126,126,0.362771695,0.338747465,0.333981565
127,127,0.372710009,0.339672546,0.334324809
128,128,0.370915352,0.341569039,0.338798258
129,129,0.373934652,0.342619277,0.3402089
130,130,0.369437705,0.34214745,0.337741577
131,131,0.371215992,0.344387578,0.338388777
132,132,0.381393508,0.34710931,0.336424152
133,133,0.374317997,0.345908879,0.338831871
134,134,0.381446302,0.34571299,0.341151521
135,135,0.373485266,0.343291749,0.347063246
136,136,0.385231842,0.345103365,0.349050249
137,137,0.381984264,0.346061988,0.351356004
138,138,0.367079565,0.346421125,0.35723573
139,139,0.378325732,0.346750021,0.367689522
140,140,0.37543712,0.351771146,0.369119983
141,141,0.379183692,0.356170801,0.376365568
142,142,0.384749583,0.358377574,0.37560096
143,143,0.374670063,0.360463363,0.37776322
144,144,0.378987556,0.364285272,0.369961369
145,145,0.382350495,0.36689034,0.373550262
146,146,0.380177869,0.38003597,0.381970267
147,147,0.388857594,0.381579415,0.373974607
148,148,0.380138799,0.382238457,0.37781561
149,149,0.384486238,0.387027232,NA
150,150,0.377539723,0.372588946,NA
151,151,0.376930914,0.386616158,NA
152,152,0.380145198,0.384087537,NA
153,153,0.378154593,0.373601213,NA
154,154,0.386335875,NA,NA
155,155,0.37755252,NA,0.379988717
156,156,0.373878697,0.387367332,0.380944718
157,157,0.371650907,0.385842843,0.375580981
158,158,0.379506525,0.381993273,0.378502762
159,159,0.380906837,0.383068161,0.384496258
160,160,0.385123769,0.378683386,0.390412786
161,161,0.378804546,0.380893885,0.384731949
162,162,0.385238725,0.375935314,0.37979826
163,163,0.382186368,0.387074013,0.380881927
164,164,0.380012503,0.378771012,0.380512103
165,165,0.383828083,0.384875049,0.381008494
166,166,0.383856095,0.374071722,0.377301947
167,167,0.381308642,0.367807776,0.381319396
168,168,0.382162954,0.366066628,0.379600404
169,169,0.378741866,0.368161138,0.378015458
170,170,0.37977293,0.374741825,0.378976234
171,171,0.392745689,0.37578668,0.375243835
172,172,0.387892126,0.380395014,0.375637482
173,173,0.382592372,0.376935353,0.376213674
174,174,0.379864911,0.37099402,0.373138669
175,175,0.374382242,0.376774554,0.3837144
176,176,0.372620676,0.370363791,0.37358573
177,177,0.376914953,0.371469368,0.379604652
178,178,0.375662366,0.365841455,0.377038145
179,179,0.374007203,0.369196893,0.375209268
180,180,0.371464989,0.378294791,0.375253737
181,181,0.366678815,0.373572714,0.369935392
182,182,0.368908022,0.368320126,0.374218975
183,183,0.372173494,0.374356631,0.369167362
184,184,0.367988517,0.370550962,0.366150874
185,185,0.368137256,0.365927208,0.367988057
186,186,0.375751527,0.369639561,0.370828953
187,187,0.357706374,0.372975827,0.369797677
188,188,0.372663824,0.369562132,0.364737279
189,189,0.369537273,0.365703558,0.368596685
190,190,0.368118253,0.361367099,0.372071719
191,191,0.369056753,0.366883373,0.369028959
192,192,0.366179116,0.366360436,0.366104985
193,193,0.371128366,0.369186498,0.367440213
194,194,0.375273545,0.366999173,0.367670668
195,195,0.371179559,0.364424059,0.374446226
196,196,0.369688736,0.368664406,0.367896552
197,197,0.370059196,0.366015802,0.36808036
198,198,0.373228953,0.365434844,0.369758779
199,199,0.375892863,0.365169666,0.368692131
200,200,0.373708857,0.367077635,0.367145942
201,201,0.363983769,0.367072339,0.367497096
202,202,0.373113626,0.362278302,0.364295539
203,203,0.367328333,0.36798672,0.366718804
204,204,0.368924621,0.367511561,0.363774503
205,205,0.372332906,0.370079076,0.36679268
206,206,0.36729683,0.362587376,0.367256818
207,207,0.372013771,0.3706823,0.365231169
208,208,0.372509602,0.369094956,0.364492203
209,209,0.374522099,0.371389868,0.362832271
