,DOY,green relative Year2015.C22,green relative Year2014,green relative Year2013
1,1,0.337251145,0.32431221,0.309291916
2,2,0.325679053,0.325010376,0.30776573
3,3,0.32391866,0.33989012,0.320310144
4,4,0.32590104,0.322928407,0.309577866
5,5,0.330044325,0.322655029,0.326060321
6,6,0.339295483,0.321614808,0.308714897
7,7,0.332967186,NA,0.31181075
8,8,0.32816425,0.324474191,0.328723043
9,9,0.329219254,0.322668543,0.310649884
10,10,0.328405867,0.320630138,0.314633519
11,11,0.322075196,NA,0.308125557
12,12,0.322492889,0.327769495,0.310411824
13,13,0.322917954,NA,0.321782692
14,14,0.327948399,0.324871129,0.309742774
15,15,0.33115026,NA,0.309777517
16,16,0.32590349,NA,0.324406413
17,17,0.334863916,NA,0.324908106
18,18,0.324808388,NA,0.324891062
19,19,0.327240075,NA,0.326284545
20,20,0.330456581,NA,0.326331809
21,21,0.335451448,0.333210726,0.323715239
22,22,0.332090389,NA,0.321304015
23,23,0.321391223,NA,0.315955319
24,24,0.323426174,0.323983429,0.323491695
25,25,0.337756464,0.32318716,0.3177585
26,26,0.336796202,0.32138459,0.319669193
27,27,0.328894206,0.331344758,0.325283436
28,28,0.337444469,0.33168612,0.325657808
29,29,0.33524675,0.323011074,NA
30,30,NA,0.322466886,NA
31,31,0.334870556,0.324847551,NA
32,32,0.324787364,0.328790579,NA
33,33,0.331419864,0.320137579,NA
34,34,0.331748512,0.321071594,NA
35,35,0.324797342,0.326395455,NA
36,36,0.327488752,0.325810479,NA
37,37,0.329771413,0.324804132,NA
38,38,0.328445154,0.31915121,NA
39,39,0.336191712,0.319292652,NA
40,40,0.323916822,0.325428784,NA
41,41,0.326003351,0.323947419,NA
42,42,0.333975882,0.321568361,NA
43,43,0.328089248,0.322759745,NA
44,44,0.336466211,0.327207464,NA
45,45,0.335899176,0.322681523,NA
46,46,0.329532355,0.326013772,NA
47,47,0.33499468,0.328278379,NA
48,48,0.335065821,0.327162733,NA
49,49,0.335443783,0.324990109,NA
50,50,0.328084826,0.325066354,NA
51,51,0.332316183,0.32246142,NA
52,52,0.333671782,0.324302926,NA
53,53,0.332660469,0.326144704,NA
54,54,0.330065351,0.322747271,NA
55,55,0.332538668,0.322438874,NA
56,56,0.328433194,0.326740895,NA
57,57,0.334140987,0.32556428,NA
58,58,0.332433322,0.321621611,0.319574134
59,59,0.333765621,0.322717965,0.317345855
60,60,0.334055503,0.320890884,0.32107523
61,61,0.32772425,0.324568558,0.326528714
62,62,0.333086296,0.326620744,0.319411709
63,63,0.333781051,0.331832279,0.324821018
64,64,0.332407281,0.327359313,0.324302885
65,65,0.334342096,0.332242695,0.31640307
66,66,0.334775259,0.329426827,0.322855813
67,67,0.334732555,0.331081397,0.325109414
68,68,0.334588872,0.328436697,0.3232335
69,69,0.335084559,0.327693054,0.328005845
70,70,0.329398892,0.327612619,0.328108598
71,71,0.335887815,0.3310999,0.319746577
72,72,0.335635144,0.329449289,0.329440668
73,73,0.336987759,0.327134736,0.328820756
74,74,0.328016624,0.329166937,0.330461072
75,75,0.336334473,0.33223366,0.323723161
76,76,0.33387455,0.327477691,0.317800293
77,77,0.337396223,0.328306245,0.320812737
78,78,0.338309565,0.330850941,0.322335479
79,79,0.338718778,0.326455405,0.322423955
80,80,0.336839382,0.326109933,NA
81,81,0.338636931,0.329869962,NA
82,82,0.335560598,0.330788188,NA
83,83,0.336411401,0.331159847,NA
84,84,0.3381422,0.329342553,NA
85,85,0.337895091,0.33012259,NA
86,86,0.339127819,0.326642502,0.326351139
87,87,0.338566994,0.334023522,0.327981542
88,88,0.338588844,0.327607256,0.32725894
89,89,0.339366961,0.33247888,0.331107829
90,90,0.340037259,NA,0.330315959
91,91,0.340326601,NA,0.331206725
92,92,0.33796605,NA,0.331844552
93,93,0.339733748,NA,NA
94,94,0.339589462,NA,NA
95,95,0.338044428,NA,NA
96,96,0.337394234,NA,NA
97,97,0.339288253,NA,NA
98,98,0.339406779,NA,NA
99,99,0.339501683,0.336398119,NA
100,100,0.340219743,0.336499123,NA
101,101,0.33894178,0.335523145,NA
102,102,0.339538002,0.334131231,NA
103,103,0.340962374,0.335640231,NA
104,104,0.339438696,0.337035009,NA
105,105,0.340512003,0.33640521,NA
106,106,0.339720364,0.33520699,NA
107,107,0.340161491,0.336440881,0.346398954
108,108,0.337044178,0.337270201,0.348883619
109,109,0.341397145,0.338130942,0.347934039
110,110,0.34132968,0.338962358,0.336723164
111,111,0.342011466,0.339143412,0.326533483
112,112,0.344193243,0.339246748,0.32863506
113,113,0.344791325,0.337868081,NA
114,114,0.347274113,0.336508833,NA
115,115,0.347307893,0.340039606,NA
116,116,0.331333989,0.338447953,NA
117,117,0.349112619,0.341889156,NA
118,118,0.351197226,0.335865091,NA
119,119,0.361196712,0.341270901,0.341703588
120,120,0.363183211,0.342420315,0.3320204
121,121,0.366199493,0.344690209,0.340204627
122,122,0.369578241,0.343425444,0.340469144
123,123,0.371587818,0.350140059,0.34032038
124,124,0.377374454,0.352735232,0.341255987
125,125,0.38667171,NA,0.342134761
126,126,0.38896942,NA,0.343522036
127,127,0.383807847,NA,0.345010058
128,128,0.390612859,NA,0.346839054
129,129,0.389435988,NA,0.355626751
130,130,0.389403418,0.362808782,NA
131,131,0.392239754,0.360832216,0.384443188
132,132,0.396326631,0.364674129,0.397979579
133,133,0.39986558,0.367886444,NA
134,134,0.396492524,NA,NA
135,135,0.406867911,0.383093617,NA
136,136,0.406489952,NA,NA
137,137,0.396774229,0.397933983,NA
138,138,0.392760247,NA,NA
139,139,0.412282824,NA,NA
140,140,0.401979641,NA,NA
141,141,0.409491424,NA,0.425108703
142,142,0.410175522,0.420424443,0.422462706
143,143,0.412800054,0.416769349,0.369390992
144,144,0.4179129,0.405892652,0.425412965
145,145,0.415392708,0.418830438,0.426603551
146,146,0.418560573,0.42716377,0.435575854
147,147,0.420187661,0.412732905,0.431838392
148,148,0.396131813,0.42094786,0.418801453
149,149,0.419499288,0.417476684,0.437970225
150,150,0.410155043,0.418675964,NA
151,151,0.417656103,0.41465353,NA
152,152,0.420309062,0.41530604,NA
153,153,0.421966596,0.419664452,NA
154,154,0.412381445,0.408804854,NA
155,155,0.416566987,0.41418901,0.432806304
156,156,0.413717441,0.414783753,0.43745665
157,157,0.416036971,0.413201297,0.439895058
158,158,0.413747916,0.416162581,0.427603948
159,159,0.41185428,0.415996629,0.434938774
160,160,0.409115662,0.403398679,0.43388944
161,161,0.404175502,0.411086951,0.429191198
162,162,0.406991493,0.401949971,0.425118985
163,163,0.403706777,0.407104975,0.4232288
164,164,0.402721727,0.3949416,0.411848752
165,165,0.395977602,0.394092449,0.417495904
166,166,0.402909174,0.400530781,0.421509432
167,167,0.399064551,0.395274004,0.42000513
168,168,0.400392063,0.386783622,0.418521083
169,169,0.397332713,0.394545527,0.417671923
170,170,0.403391336,0.403923229,0.413668068
171,171,0.400911546,0.401085509,0.399083747
172,172,0.400891647,0.405203065,0.417810712
173,173,0.397338688,0.41103234,0.414718469
174,174,0.395317647,0.409283988,0.417741289
175,175,0.395174197,0.405413508,0.418698642
176,176,0.397632843,0.407597913,0.41464422
177,177,0.395490733,0.397905651,0.414593975
178,178,0.395904328,0.394033655,0.417326878
179,179,0.390677372,0.403190775,0.415918883
180,180,0.388606172,0.39368378,0.412216973
181,181,0.391544449,0.405906178,0.416485436
182,182,0.387677286,0.399408967,0.410135068
183,183,0.392263532,0.399983592,0.406812673
184,184,0.388487875,0.400183281,0.405820617
185,185,0.389495894,0.402036057,0.407188889
186,186,0.389438411,0.405964072,0.408344825
187,187,0.389760797,0.404313089,0.406982561
188,188,0.386727033,0.403350385,0.407605661
189,189,0.385948242,0.404444748,0.396247187
190,190,0.387811955,0.397162351,0.400408383
