,DOY,green relative Year2015.C96,green relative Year2014,green relative Year2013
1,1,0.331271079,0.330560555,NA
2,2,0.330432796,0.330476823,NA
3,3,0.332470416,0.331808675,NA
4,4,0.332516984,0.330061226,NA
5,5,0.331330335,0.330029341,NA
6,6,0.334338173,0.33053882,NA
7,7,0.333640242,NA,NA
8,8,0.333975503,0.330997771,NA
9,9,0.333812899,0.330401877,NA
10,10,0.33197742,0.330834847,NA
11,11,0.332775781,NA,NA
12,12,0.333258781,0.331043339,NA
13,13,0.332497429,0.331017219,NA
14,14,0.333616098,0.33024478,NA
15,15,0.333143333,0.330341851,NA
16,16,0.334966846,0.329810811,NA
17,17,0.332932829,0.329852671,NA
18,18,0.334262275,NA,NA
19,19,0.334142815,NA,NA
20,20,0.334338131,NA,NA
21,21,0.334269257,0.330208485,NA
22,22,0.334887953,0.331935782,NA
23,23,0.334072422,0.334532004,NA
24,24,0.33391185,0.331243078,NA
25,25,0.335688547,0.330832793,NA
26,26,0.335476628,0.330949234,NA
27,27,0.334119397,NA,NA
28,28,0.332551302,NA,NA
29,29,0.335293541,0.329374229,NA
30,30,NA,0.331482049,NA
31,31,0.335371186,NA,NA
32,32,0.334793795,0.330628645,NA
33,33,0.334314459,0.330594182,NA
34,34,0.332896384,0.330744384,NA
35,35,0.334380311,0.330942979,NA
36,36,0.334706166,0.330904151,NA
37,37,0.33565978,0.330691267,NA
38,38,0.333853381,0.330336715,NA
39,39,0.335303437,0.330502196,NA
40,40,0.33239511,0.33010232,NA
41,41,0.334763444,0.32983022,NA
42,42,0.335193197,0.330620909,NA
43,43,0.334989675,0.329423678,NA
44,44,0.335771099,0.328247662,NA
45,45,0.33505044,0.331218087,NA
46,46,0.33606299,0.331201821,NA
47,47,0.336153174,0.331236265,NA
48,48,0.335265278,0.33209192,NA
49,49,0.335688148,0.332770591,NA
50,50,0.336392151,0.330089134,NA
51,51,0.332716613,0.331079951,NA
52,52,0.333403963,0.330866916,NA
53,53,0.336108835,0.330657919,NA
54,54,0.337827548,0.331559345,NA
55,55,0.337616049,0.331854709,NA
56,56,0.336970965,0.330242313,NA
57,57,0.333934162,0.33259346,NA
58,58,0.333474454,0.330566901,NA
59,59,0.332697288,0.332919258,NA
60,60,0.335348362,0.330030793,NA
61,61,0.333947045,0.333485116,NA
62,62,0.331941973,0.332872209,NA
63,63,0.333219561,0.327711552,NA
64,64,0.334284185,0.331910951,NA
65,65,0.335178478,0.330878689,NA
66,66,0.335808476,0.329787076,NA
67,67,0.335495457,0.331975635,NA
68,68,0.336273253,0.331931385,NA
69,69,0.336612959,0.331148038,NA
70,70,0.333356681,0.330391112,NA
71,71,0.333766594,0.332979532,NA
72,72,0.336889059,0.332849315,NA
73,73,0.334157115,0.331350308,NA
74,74,0.334808174,0.333668179,NA
75,75,0.334907849,0.331435237,NA
76,76,0.334413341,0.32995111,NA
77,77,0.334719045,0.331733878,NA
78,78,0.336166504,0.331858973,NA
79,79,0.336385321,0.332918096,NA
80,80,0.334812974,0.333106877,NA
81,81,0.335415529,0.332462917,NA
82,82,0.333441575,0.331562124,NA
83,83,0.33415888,0.332836689,NA
84,84,0.335560505,0.332283736,NA
85,85,0.335575373,0.331279149,NA
86,86,0.335385133,0.330073518,NA
87,87,0.3366918,0.332570453,NA
88,88,0.336807509,0.331868387,NA
89,89,0.335286235,0.330271986,NA
90,90,0.335044443,0.332885589,NA
91,91,0.333233252,0.33098129,NA
92,92,0.332212668,0.331439887,0.334902819
93,93,0.335189866,0.330756137,0.3362324
94,94,0.33446984,0.331397621,0.336283955
95,95,0.33563941,0.332356422,0.334537981
96,96,0.334900725,0.331463977,0.337083256
97,97,0.333234518,0.332345968,0.336658317
98,98,0.334490445,0.330346259,0.335342097
99,99,0.332449708,0.332649941,0.335775076
100,100,0.33420167,0.333463933,0.338485438
101,101,0.335033701,0.333582522,0.336357703
102,102,0.335649225,0.337286792,0.335146244
103,103,0.334626872,0.336102803,0.337276509
104,104,0.332844165,0.337379553,0.339149912
105,105,0.331978506,0.336393292,0.337799241
106,106,0.333295424,0.340450471,0.336417936
107,107,0.333803756,0.342045712,0.337043265
108,108,0.334182715,0.345603015,0.337027264
109,109,0.334214198,0.343821145,0.335156601
110,110,0.332590762,0.348301149,0.338575945
111,111,0.332513502,0.352315878,0.336421387
112,112,0.33060114,0.35665754,0.336503085
113,113,0.331726956,0.350705977,0.335674151
114,114,0.329840291,0.356224036,0.33609021
115,115,0.331928602,0.355959714,0.335724503
116,116,0.332799387,0.360511021,0.335094898
117,117,0.331706583,0.35457571,0.335085531
118,118,0.33203953,0.358227021,0.336578445
119,119,0.331284101,0.352454521,0.335987189
120,120,0.331696607,0.353268766,0.335715347
121,121,0.332078582,0.35489668,0.335005565
122,122,0.331298096,0.357955483,0.336881547
123,123,0.330166635,0.35917384,0.33662453
124,124,0.328486325,0.360419777,0.33741447
125,125,0.33131929,0.360318368,0.33438056
126,126,0.331112565,0.359982011,0.335031268
127,127,0.330876302,0.363555112,0.333760508
128,128,0.333534366,0.364625725,0.332390247
129,129,0.333581708,0.360991617,0.335450414
130,130,0.332013161,0.362374845,0.333803334
131,131,0.331310722,0.352765996,0.33474124
132,132,0.330977396,0.358162174,0.334994099
133,133,0.331128962,0.360099584,0.335108553
134,134,0.332109987,0.361364974,0.332091871
135,135,0.331477047,0.35995045,0.332320091
136,136,0.33119843,0.36099841,0.332380375
137,137,0.333009333,0.361952693,0.335873513
138,138,0.331502418,0.361952631,0.334950843
139,139,0.331336621,0.362875028,0.334483528
140,140,0.332993835,0.363672465,0.335053131
141,141,0.331971013,0.361912802,0.332820277
142,142,0.329812604,0.362840837,0.332319742
143,143,0.329781509,0.364547879,0.333600462
144,144,0.33094376,0.364120812,0.334416022
145,145,0.330702289,0.361170748,0.332865345
146,146,0.331176389,0.36096701,0.33199788
147,147,0.33038931,0.359864314,0.335845428
148,148,0.3294609,0.359522174,0.334058701
149,149,0.333545736,0.362106386,0.334390973
150,150,0.330662019,0.358680086,0.3343677
151,151,0.331803383,0.36061837,NA
152,152,0.333459883,0.359757909,NA
153,153,0.331937925,0.359622476,NA
154,154,0.332259471,0.360620379,NA
155,155,0.330802883,0.358182751,0.33343209
156,156,0.330864239,0.360135833,0.335851122
157,157,0.32993095,0.361097897,0.334295514
158,158,0.332316491,0.359402513,0.333922539
159,159,0.331682221,0.358702071,0.333178351
