,DOY,green relative Year2015.C71,green relative Year2014
1,1,0.338486842,NA
2,2,0.338901734,NA
3,3,0.338741435,NA
4,4,0.338583743,NA
5,5,0.340700539,NA
6,6,0.340509727,NA
7,7,0.338070416,NA
8,8,0.338768908,NA
9,9,0.337702123,NA
10,10,0.338390529,NA
11,11,0.338184652,NA
12,12,0.337362552,NA
13,13,0.33795256,NA
14,14,0.338122337,NA
15,15,0.339309676,NA
16,16,0.340378914,NA
17,17,0.338699643,NA
18,18,0.339333557,NA
19,19,0.339438031,NA
20,20,0.339244853,NA
21,21,0.339717518,NA
22,22,0.338500804,NA
23,23,0.336876178,NA
24,24,0.339498633,NA
25,25,0.337257196,NA
26,26,0.33823069,NA
27,27,0.337420855,NA
28,28,0.339489698,NA
29,29,0.33847906,NA
30,31,0.33793322,NA
31,32,0.339070463,NA
32,33,0.339059585,NA
33,34,0.339501978,NA
34,35,0.341023112,NA
35,36,0.340626956,NA
36,37,0.338605534,NA
37,38,0.340230157,NA
38,39,0.338358571,NA
39,40,0.339735423,NA
40,41,0.340391427,NA
41,42,0.3411127,NA
42,43,0.338442218,NA
43,44,0.339744384,NA
44,45,0.338331324,NA
45,46,0.337937918,NA
46,47,0.338940708,NA
47,48,0.33855403,NA
48,49,0.337774077,NA
49,50,0.336451975,NA
50,51,0.337603203,NA
51,52,0.340234407,NA
52,53,0.33973365,NA
53,54,0.33933188,NA
54,55,0.33824263,NA
55,56,0.338423392,NA
56,57,0.338119071,NA
57,58,0.340966754,NA
58,59,0.337190111,NA
59,60,0.337154757,NA
60,61,0.339744628,NA
61,62,0.339322706,NA
62,63,0.33735491,NA
63,64,0.337096803,NA
64,65,0.337593818,NA
65,66,0.338147942,NA
66,67,0.336079093,NA
67,68,0.336204515,NA
68,69,0.336480877,NA
69,70,0.338473227,NA
70,71,0.33788311,NA
71,72,0.336139472,NA
72,73,0.340367547,NA
73,74,0.339081069,NA
74,75,0.338251832,NA
75,76,0.335946099,NA
76,77,0.338647776,NA
77,78,0.340540257,NA
78,79,0.338039316,NA
79,80,0.340502679,NA
80,81,0.337670081,NA
81,82,0.339623053,NA
82,83,0.33881664,NA
83,84,0.339719026,NA
84,85,0.338080497,NA
85,86,0.335203334,NA
86,87,0.338443102,NA
87,88,0.339629482,NA
88,89,0.337680513,NA
89,90,0.33868446,NA
90,91,0.338421919,NA
91,92,0.33771086,NA
92,93,0.339904171,NA
93,94,0.339457346,NA
94,95,0.334948061,NA
95,96,0.336818857,NA
96,97,0.33512792,NA
97,98,0.334919592,NA
98,99,0.334605494,NA
99,100,0.337259065,NA
100,101,0.337195386,NA
101,102,0.335392456,NA
