,DOY,green relative Year2015.C71,green relative Year2014
102,103,0.337519691,NA
103,104,0.340105243,NA
104,105,0.335245103,NA
105,106,0.334658172,NA
106,107,0.334288342,NA
107,108,0.334303164,NA
108,109,0.334276235,NA
109,110,0.334260026,NA
110,111,0.334255978,NA
111,112,0.338769168,NA
112,113,0.336610453,NA
113,114,0.338514209,NA
114,115,0.339292148,NA
115,116,0.336681993,NA
116,117,0.334591327,NA
117,118,0.334403779,NA
118,119,0.337479384,NA
119,120,0.339239722,NA
120,121,0.33994238,NA
121,122,0.337426093,NA
122,123,0.334596967,NA
123,124,0.334848941,NA
124,125,0.334750601,NA
125,126,0.335305704,NA
126,127,0.334687257,NA
127,128,0.33592583,NA
128,129,0.335117552,NA
129,130,0.335206365,NA
130,131,0.335555075,NA
131,132,0.33559995,NA
132,133,0.336069226,NA
133,134,0.335478736,NA
134,135,0.334880179,NA
135,136,0.334834856,NA
136,137,0.334372726,NA
137,138,0.33537216,NA
138,139,0.336438932,NA
139,140,0.336014703,NA
140,141,0.337601304,NA
141,142,0.338943403,0.335377237
142,143,0.337118151,0.339727922
143,144,0.338053781,0.339044203
144,145,0.336506233,0.338287909
145,146,0.338702909,0.339070198
146,147,0.33919822,0.334813552
147,148,0.338335126,0.337112795
148,149,0.338182525,0.338094478
149,150,0.339016201,0.337625246
150,151,0.339984298,0.334866814
151,152,0.342236981,0.336207798
152,153,0.34043375,0.335443045
153,154,0.341068803,0.332829297
154,155,0.344051876,0.334205544
155,156,0.342749392,0.334512303
156,157,NA,0.334888444
157,158,0.347421621,0.330665229
158,159,0.348226872,0.333658169
159,160,0.349365225,0.334330378
160,161,0.352677135,0.332776221
161,162,0.351950112,0.333928487
162,163,0.35663201,0.334568338
163,164,NA,0.331672452
164,165,NA,0.335112126
165,166,NA,0.332150728
166,167,0.35567853,0.335776928
167,168,0.357801696,0.336458741
168,169,0.360798223,0.334082768
169,170,0.358598951,0.337904006
170,171,0.355901096,0.338531733
171,172,0.358541315,0.33633326
172,173,0.355309072,0.341340446
173,174,0.357116947,0.344552129
174,175,0.36080745,0.350116006
175,176,0.359254055,0.34836265
176,177,0.358438872,0.353479785
177,178,0.359656749,0.35572469
178,179,0.359946509,0.354792205
179,180,0.365032497,0.353680301
180,181,NA,0.352066421
181,182,0.36035438,0.356002194
182,183,0.360927478,0.358363665
183,184,0.358953282,0.3617546
184,185,0.362983609,0.360347041
185,186,0.366018346,0.35659847
186,187,0.365579898,0.357267785
187,188,0.365717953,0.354189382
188,189,0.363765248,0.361045343
189,190,0.365355004,0.36193905
190,191,0.363700231,0.361097556
191,192,0.363562094,0.359613635
192,193,0.363232682,0.359886383
193,194,0.360901705,0.361643445
194,195,0.360481642,0.372867072
195,196,0.358485742,0.362921954
196,197,0.356727513,0.363535344
197,198,0.355724433,0.369626914
198,199,0.358921443,0.364817239
199,200,0.356422718,0.372177436
200,201,0.358763757,0.366267988
201,202,0.353781471,0.363203883
202,203,0.353500601,0.372362052
203,204,0.356846736,0.365188798
204,205,0.353955916,0.369220395
205,206,0.354632123,0.359118199
206,207,0.354999725,0.355829183
207,208,0.351956211,0.358494494
208,209,0.351585267,0.360927036
209,210,0.352158536,0.363415025
210,211,0.350277276,0.363459086
211,212,0.350986174,0.365760391
212,213,0.348897189,0.366055494
213,214,0.353574366,0.369797569
214,215,0.355824053,0.36176047
215,216,0.356227551,0.364216893
216,217,0.355703968,0.363523098
217,218,0.350550753,0.363949436
218,219,0.352032928,0.365195351
219,220,0.349389484,0.36749559
220,221,0.354875894,0.365291447
221,222,0.354202587,0.362684219
222,223,0.352694062,0.362511236
223,224,0.35428383,0.372218626
224,225,0.35438426,0.362178513
225,226,0.356592194,0.369248212
226,227,0.354308851,0.363867895
227,228,0.35030221,0.372142905
228,229,0.350185714,0.36246882
229,230,0.352091754,0.359550715
230,231,0.349471152,0.363513927
231,232,0.353329603,0.355781394
232,233,0.358846482,0.356616974
233,234,0.349496587,0.362352692
234,235,0.350274945,0.355360883
235,236,0.350745227,0.365019103
236,237,0.34980025,0.353502935
237,238,0.352308451,0.352827218
238,239,0.348112614,0.359814144
239,240,0.354085863,0.356282379
240,241,0.354308143,0.356486403
241,242,0.352167903,0.359556144
242,243,0.35197582,0.356299177
243,244,0.347875944,0.358499662
244,245,0.351464071,0.359736653
245,246,0.350135875,0.359525679
246,247,0.349915227,0.350326582
247,248,0.351557691,NA
248,249,0.348847486,NA
249,250,0.35086096,NA
250,251,0.354967665,0.35625095
251,252,0.350996277,0.353136441
252,253,0.348161961,0.355124417
253,254,0.346762028,0.346314875
254,255,0.349243997,0.349605848
255,256,0.347513426,0.343727724
256,257,0.346185391,0.343134416
257,258,0.345492152,0.341785812
258,259,0.346527403,0.343696587
259,260,0.347749998,0.342669142
260,261,0.343882929,0.344163445
261,262,0.34584781,0.343397071
262,263,0.344894577,0.338803271
263,264,0.343365571,0.337526069
264,265,0.345258956,0.340963195
265,266,0.344377081,0.341178602
266,267,0.346346872,0.344339936
267,268,NA,0.340955849
268,269,0.343926972,0.341769249
269,270,0.342132987,0.336007182
270,271,0.340838096,0.33664559
271,272,0.341562531,0.340458402
272,273,0.341126538,0.340270686
273,274,0.342607092,0.341076088
274,275,0.342166991,NA
275,276,0.339554255,NA
276,277,0.341163885,NA
277,278,0.340614953,NA
278,279,0.34187913,NA
279,280,0.340113189,0.339624068
280,281,0.338314325,0.338977652
281,282,0.340449537,0.338384555
282,283,0.337422559,0.336772265
283,284,0.339210131,0.339867056
284,285,0.339581091,0.336782378
285,286,0.34130568,0.337480842
286,287,0.342232851,0.336707863
287,288,0.343260468,0.33550317
288,289,0.341970374,0.33455863
289,290,0.342241127,0.33648677
290,291,0.338794086,0.334338564
291,292,0.340558353,0.335710907
292,293,0.341880526,0.338420235
293,294,0.340573835,0.334446083
294,295,0.340676459,0.335205788
295,296,0.340071999,NA
296,297,0.339671265,NA
297,298,0.340037524,NA
298,299,0.339300642,0.336247416
299,300,0.338967863,0.333495813
300,301,0.337990146,0.335336331
301,302,0.340916455,0.331739408
302,303,0.340580805,0.329368008
303,304,0.340537116,0.333406217
304,305,0.337573905,0.331891684
305,306,0.338356091,0.334776755
306,307,0.339106044,0.337573204
307,308,0.337119752,0.336408835
308,309,0.338793991,0.336489546
309,310,0.338175029,0.335902798
310,311,0.338127607,0.336405636
311,312,0.339052089,0.335613131
312,313,0.339875457,0.339448564
313,314,0.336845929,0.338463995
314,315,0.339928593,0.339189793
315,316,0.339713441,0.337718255
316,317,0.339386058,NA
317,318,0.339967584,0.337308893
318,319,0.339103364,0.336539106
319,320,0.339146885,0.339392202
320,321,0.342415596,0.337246158
321,322,0.338266775,0.336474936
322,323,0.33835782,0.337487896
323,324,NA,0.336517721
324,325,0.338229991,0.339001079
325,326,0.337417566,0.339412133
326,327,0.337758197,0.34093333
327,328,0.339837528,0.339889929
328,329,0.33859203,0.337623939
329,330,0.337361217,0.339227767
330,331,0.338188161,0.339801062
331,332,0.33850607,0.339338595
332,333,0.339049891,0.340269539
333,334,0.338001171,0.338781049
334,335,0.337129168,NA
335,336,0.33900854,NA
336,337,0.340008124,0.33784804
337,338,0.338886435,0.339409237
338,339,0.339032175,0.339483819
339,340,0.338743117,0.338858321
340,341,0.33881812,0.337151523
341,342,0.339647786,0.338952224
342,343,0.33842456,0.338795765
343,344,0.339016081,0.337815666
344,345,0.338481508,0.338242287
345,346,0.339037349,0.339163266
346,347,0.338931737,0.337663175
347,348,0.338565525,0.337780998
348,349,0.337987779,0.339217601
349,350,0.339604242,0.33759962
350,351,0.33981283,0.339170146
351,352,0.339462679,0.340200502
352,353,0.339914244,0.33941692
353,354,0.339038109,0.338719491
354,355,0.337294907,0.337929873
355,356,0.338385361,0.339330427
356,357,0.340241619,0.339153024
357,358,0.341331705,0.338167599
358,359,0.341654665,0.339403748
359,360,0.340288434,0.338085648
360,361,0.339480154,0.338450323
361,362,0.338533707,0.33608068
362,363,0.338953427,0.337479896
363,364,0.338516106,0.338411475
364,365,0.340185845,0.338907171
