,DOY,green relative Year2015.C31,green relative Year2014
1,1,0.342839872,0.341957501
2,2,0.34163426,0.346332842
3,3,0.34285633,0.34507384
4,4,0.346586629,0.34709648
5,5,0.345316953,0.344678863
6,6,0.346957049,0.34825143
7,7,0.346618293,NA
8,8,0.341375149,0.351831109
9,9,0.344743216,0.3407319
10,10,0.349635458,0.340746389
11,11,0.34313959,NA
12,12,0.342786009,0.343592686
13,13,0.341354373,0.345159576
14,14,0.344803352,0.343529548
15,15,0.345888578,0.342646968
16,16,0.33880046,0.341898783
17,17,0.344099373,0.343674011
18,18,0.347331774,NA
19,19,0.338803149,NA
20,20,0.344919358,NA
21,21,0.343546332,0.344538829
22,22,0.346943519,0.346945007
23,23,0.343717902,0.346301566
24,24,0.34702624,0.341949261
25,25,0.348308477,0.344905641
26,26,0.345754084,0.336827278
27,27,0.3458967,NA
28,28,0.341771554,NA
29,29,0.344515897,0.34353517
30,30,NA,0.338825403
31,31,0.346076926,0.343043208
32,32,NA,0.34473224
33,33,0.347177911,0.344950326
34,34,0.343748754,0.331767217
35,35,0.341938163,0.338338573
36,36,0.347109862,0.331625982
37,37,0.347200528,0.340636219
38,38,0.343795397,0.33775804
39,39,NA,0.332829748
40,40,0.346298844,0.338733999
41,41,0.34665761,0.340779694
42,42,0.347017442,0.348520527
43,43,0.34569343,0.347405125
44,44,0.347644472,0.347754728
45,45,0.313908756,0.347946543
46,46,0.34815406,0.341562024
47,47,0.349577628,0.344129093
48,48,0.34584115,0.33547709
49,49,0.342524313,0.343802574
50,50,NA,0.346229443
51,51,0.337596085,0.343751459
52,52,0.337049901,0.348702612
53,53,0.341353067,0.346135383
54,54,0.337131425,0.337113108
55,55,0.344897029,0.338623088
56,56,0.334341745,0.341092237
57,57,0.344991621,0.344980878
58,58,0.336157708,0.337850119
59,59,0.336433519,0.333236072
60,60,0.342165834,0.335631829
61,61,0.343121725,0.341274106
62,62,0.336586738,0.346967544
63,63,0.34353187,0.341894396
64,64,0.346303274,0.340663252
65,65,0.341950815,0.345388629
66,66,0.33851449,0.347147328
67,67,0.340544221,0.343886231
68,68,NA,0.344421462
69,69,0.345355337,0.335599726
70,70,0.341737272,0.340507307
71,71,0.340519433,0.342974857
72,72,0.342845317,0.341169197
73,73,0.345212792,0.344199282
74,74,0.332931496,0.341090089
75,75,0.338508746,0.333275698
76,76,0.332334354,0.338875285
77,77,0.337181455,0.337343627
78,78,0.34135784,0.3457913
79,79,0.341601899,0.335196656
80,80,0.346782059,0.34317879
81,81,0.342689153,0.345436355
82,82,0.335275711,0.333496554
83,83,0.338612243,0.336475049
84,84,0.346262544,0.338899608
85,85,0.34351445,0.33793993
86,86,0.344928345,0.342762071
