,DOY,green relative Year2015.C7,green relative Year2014,green relative Year2013
1,1,0.357253468,0.34334564,0.346361904
2,2,0.35146276,0.343114519,0.344284529
3,3,0.343271699,0.343846564,0.345928023
4,4,0.349828276,0.346878632,0.346390546
5,5,0.347326855,0.33941226,0.344890035
6,6,0.344703534,0.347182425,0.347104157
7,7,0.345660799,NA,0.345269409
8,8,0.343420626,0.342793573,0.343766072
9,9,0.351972294,0.343157993,0.345169227
10,10,0.348563992,0.345661404,0.346624878
11,11,0.353265348,NA,0.346930036
12,12,0.355235951,NA,0.344180021
13,13,0.345157111,NA,0.346371412
14,14,0.345558155,NA,0.349215015
15,15,0.350743674,0.337293079,0.345081497
16,16,0.352672876,0.353092996,0.348414079
17,17,0.344076395,0.346282119,0.350644509
18,18,0.350957872,NA,0.346454893
19,19,0.352893559,NA,0.342307734
20,20,0.347362846,NA,0.346888363
21,21,0.33930394,0.346563157,0.344524055
22,22,0.352188803,0.346287628,0.346022436
23,23,0.342304762,0.346922678,0.345258882
24,24,0.355025199,NA,0.346190885
25,25,0.355495037,NA,0.346420699
26,26,0.339142359,NA,0.346531958
27,27,0.34575604,NA,0.346127684
28,28,0.347551295,NA,0.345125052
29,29,0.349713797,0.342475178,0.346111151
30,30,NA,0.342886522,0.352259439
31,31,0.351479874,0.344478045,0.35968629
32,32,0.33847843,0.342694324,0.355010957
33,33,0.346277533,0.344849328,0.339515795
34,34,0.345627348,0.346715533,0.343591626
35,35,0.349129475,0.342988838,0.345078382
36,36,0.347907026,0.34798408,0.344188495
37,37,0.345827319,0.345537089,0.344521137
38,38,0.348006021,0.342990801,0.344333182
39,39,0.35151271,0.344770368,0.348109447
40,40,0.345415343,0.345572057,0.346024769
41,41,0.345478904,0.342209785,0.345959395
42,42,0.346886406,0.345036165,0.345921406
43,43,0.348937413,0.345146859,0.345376746
44,44,0.346964301,0.348192863,0.34701535
45,45,0.345900561,0.347178374,0.345801435
46,46,0.344625379,0.344461511,0.345191919
47,47,0.343422224,0.345637729,0.34568096
48,48,0.347885365,0.3463789,0.352091994
49,49,0.350406407,0.342939314,0.343957442
50,50,0.346772096,0.344659674,0.346099565
51,51,0.347116776,0.345505166,0.350083419
52,52,0.345728061,0.345938712,0.346001587
53,53,0.349050636,0.345328348,0.345997651
54,54,0.349583881,0.345677483,0.344969177
55,55,0.347159912,0.347502875,0.348488916
56,56,0.36129149,0.346393635,0.34215532
57,57,0.346762254,0.342491677,0.34366694
58,58,0.346479488,0.345450843,0.344304088
59,59,0.347477957,0.345351907,0.349348626
60,60,0.35112295,0.346243885,0.346920978
61,61,0.348350368,0.345300929,0.349468927
62,62,0.349500919,0.344540247,0.350101761
63,63,0.352815676,0.343271394,0.352706216
64,64,0.350248758,0.340302952,0.354178399
65,65,0.350337991,0.345298394,0.35307006
66,66,0.348879026,0.342352118,0.353538156
67,67,0.351255056,0.346956528,0.349153109
68,68,0.350574598,0.347458881,0.35303002
69,69,0.354587341,0.345462822,0.348592727
70,70,NA,0.34807061,NA
71,71,0.3515474,0.350723412,0.352218006
72,72,0.348838435,0.350727127,0.354984985
73,73,0.346822328,0.347878798,0.343503305
74,74,0.350677862,0.351637091,0.347481748
75,75,0.349949393,0.350124305,0.349524186
76,76,0.350445762,0.348583318,0.351587387
77,77,0.345786172,0.343500085,0.342790911
78,78,0.350219865,NA,0.351613088
79,79,0.349597206,0.351242803,0.345787894
80,80,0.35175959,0.349827295,0.346972344
81,81,0.350655923,0.346725339,0.346161623
82,82,0.350154835,0.345217159,0.351000247
83,83,0.349910628,0.340461439,0.348760377
84,84,0.350314213,0.347393119,0.349282256
85,85,0.348725792,0.339633007,0.349511971
86,86,0.351385656,0.345470492,0.351295482
87,87,0.346878855,0.348642489,0.350693307
