,DOY,green relative Year2015.C99,green relative Year2014,green relative Year2016
1,1,0.330586138,NA,NA
2,2,0.329762072,NA,NA
3,3,0.332924205,NA,NA
4,4,0.332423932,NA,NA
5,5,0.332181747,NA,NA
6,6,0.333336347,NA,NA
7,7,0.332044197,NA,NA
8,8,0.332307331,NA,NA
9,9,0.332272197,NA,NA
10,10,0.332800893,NA,NA
11,11,0.332148846,NA,NA
12,12,0.33129744,NA,0.332628996
13,13,0.332223175,NA,0.333964225
14,14,0.331653103,NA,0.332472179
15,15,0.32993216,NA,0.333728777
16,16,0.331254751,NA,0.332289258
17,17,0.332752503,NA,0.332063864
18,18,0.332370674,NA,0.332029322
19,19,0.329890021,NA,0.331813921
20,20,0.328912572,NA,0.333661563
21,21,0.332637178,0.33257752,0.332138946
22,22,0.333466853,0.333434589,0.332481685
23,23,0.332953895,0.332569925,0.332495017
24,24,0.332261798,0.332620641,0.333328446
25,25,0.331940853,0.333125551,0.332026684
26,26,0.330688164,0.332776876,0.332120593
27,27,0.331991298,NA,0.334063067
28,28,0.332117785,NA,0.331601044
29,29,0.330297453,0.334853397,0.331661416
30,30,NA,0.333602752,0.333355955
31,31,0.331476899,0.332930821,0.333891974
32,32,0.332229068,0.333440122,0.332854137
33,33,0.332889746,0.333135512,0.333026093
34,34,0.331740879,0.333384537,0.334811395
35,35,NA,0.332836011,0.332520878
36,36,NA,0.337628514,0.332237407
37,37,0.331611227,0.313082452,0.331069925
38,38,0.332316544,0.337806348,0.332005445
39,39,0.329017093,0.335092142,0.331603927
40,40,0.330877383,0.334167611,0.332090405
41,41,0.32835897,0.333406136,NA
42,42,0.331270042,0.333338765,NA
43,43,0.331022592,0.335779485,NA
44,44,0.331273238,0.333891842,NA
45,45,0.330632561,0.333485748,NA
46,46,0.327074677,0.334751001,NA
47,47,0.329324983,0.334705525,NA
48,48,0.328295681,0.333192432,NA
49,49,0.329290261,0.335613972,NA
50,50,0.33186956,0.333069531,NA
51,51,0.327619714,0.336429239,NA
52,52,0.32693058,0.335678035,NA
53,53,0.328274681,0.332957898,NA
54,54,0.327894417,0.333625813,NA
55,55,0.330362379,0.333897388,NA
56,56,0.331092679,0.332036463,NA
57,57,0.330433237,0.335020144,NA
58,58,0.331889561,0.333663489,NA
59,59,0.328185413,0.334697222,NA
60,60,0.328504772,0.3336668,NA
61,61,0.330744349,0.333003346,NA
62,62,0.327942266,0.334492925,NA
63,63,0.329095661,0.333605872,NA
64,64,0.33235067,0.333174288,NA
65,65,0.330614718,0.333048676,NA
66,66,0.328640873,0.334362932,NA
67,67,0.328752813,0.33426555,NA
68,68,0.328953104,0.33408337,NA
69,69,0.329029381,0.333647652,NA
70,70,0.331051753,0.335670232,NA
71,71,0.330228545,0.334803773,NA
72,72,0.333144928,0.334483835,NA
73,73,0.331300506,0.334641985,NA
74,74,0.331613772,0.334575483,NA
75,75,0.329870832,0.335257693,NA
76,76,0.330933357,0.335290108,NA
77,77,0.330583131,0.335731589,NA
78,78,0.331144901,0.333628216,NA
79,79,0.330807474,0.335162458,NA
80,80,0.331891501,0.334888185,0.328931946
81,81,0.332478809,0.334776887,NA
82,82,0.329506752,0.334059138,NA
83,83,0.330519893,0.334943108,NA
84,84,0.329855693,0.334440693,NA
85,85,0.330401213,0.332995605,NA
86,86,0.330970457,0.335141695,NA
87,87,0.329762169,0.335812104,NA
88,88,0.331711795,0.335074121,NA
89,89,0.330435774,0.333931233,NA
90,90,0.329656365,0.334700333,NA
91,91,0.330060593,0.335239166,NA
92,93,0.331213306,0.334575779,NA
93,94,0.329100644,0.335460139,NA
94,95,0.329288296,0.334991611,NA
95,96,0.330296886,0.334886976,NA
96,97,0.331515979,0.334791995,NA
97,98,0.329948118,0.335402425,0.330693055
98,99,0.330501702,0.335263386,0.329133948
99,100,0.329815482,0.336659668,0.3305625
100,101,0.329790588,0.334545177,0.330933362
101,102,0.330193491,0.333686251,0.329570157
102,103,0.330037815,0.334940181,0.330195954
103,104,0.329017043,0.334676939,0.331487584
104,105,0.329380025,0.335309795,0.329376936
105,106,0.330172646,0.334190378,0.329308964
106,107,0.328424172,0.335324217,0.330627293
107,108,0.328524671,0.335846007,0.330238502
108,109,0.328526841,0.333625909,NA
109,110,0.326917689,0.334192795,NA
110,111,0.32696893,0.334842329,NA
111,112,0.331867222,0.333142876,NA
112,113,0.367062565,0.336272036,NA
113,114,0.366334749,0.333839185,NA
114,115,0.366131511,0.333643253,NA
115,116,0.365956778,0.336582464,NA
116,117,0.363108335,0.333966328,NA
117,118,0.365199188,0.337103662,NA
118,119,NA,0.336437987,NA
119,120,NA,0.336901588,NA
120,121,NA,0.336759781,NA
121,122,NA,0.334120253,NA
122,123,NA,0.338189675,NA
123,124,NA,0.334084027,NA
124,125,NA,0.33408357,NA
125,126,NA,0.335228965,NA
126,127,NA,0.336199706,NA
127,128,NA,0.334524443,NA
128,129,NA,0.334321412,NA
129,130,NA,0.335803554,NA
130,131,NA,0.335775442,NA
131,132,NA,0.338294551,NA
132,133,NA,0.338699082,NA
133,134,NA,0.336125031,NA
134,135,NA,0.336053023,NA
135,136,NA,0.335110542,NA
136,137,NA,0.333743982,NA
137,138,NA,0.335646365,NA
138,139,NA,0.33357282,NA
139,140,NA,0.338191797,NA
140,141,NA,0.334578026,NA
141,142,NA,0.335565519,NA
142,143,NA,0.334475077,NA
143,144,NA,0.336059813,NA
144,145,NA,0.335909097,NA
145,146,NA,0.336954316,NA
146,147,NA,0.337866244,NA
147,148,NA,0.334561509,NA
148,149,NA,0.336714082,NA
149,150,NA,0.336983377,NA
150,151,NA,0.336759702,NA
151,152,NA,0.337118798,NA
152,153,NA,0.337491932,NA
153,154,0.364442787,0.337273872,NA
154,155,0.360848087,0.337553965,NA
155,156,0.360597996,0.338325228,NA
156,157,0.361069087,0.33775917,NA
157,158,0.358732213,0.334928748,NA
158,159,0.362164854,0.336438128,NA
159,160,0.36092405,0.336340771,NA
160,161,0.359816964,0.335226403,NA
161,162,0.361327655,0.337004932,NA
162,163,0.361200509,0.340215762,NA
163,164,0.360143877,0.33451835,NA
164,165,0.361495452,0.337667739,NA
165,166,0.361479021,0.333656008,NA
166,167,0.359178091,0.334532734,NA
167,168,0.361014865,0.334689672,NA
168,169,0.362443762,0.335612591,0.333605728
169,170,0.363226736,0.334465165,0.325966706
170,171,0.360741927,0.33775004,0.32446459
171,172,0.366129725,0.336018979,0.327595271
172,173,0.361826536,0.337943603,0.328511273
173,174,0.360958638,0.337823614,0.327690371
174,175,0.363583573,0.338017302,0.329918476
175,176,0.359934806,0.335350069,NA
176,177,0.361061956,0.334625013,NA
177,178,0.360994831,0.336250683,NA
178,179,0.360989199,0.336837953,NA
179,180,0.362646121,0.339312336,NA
180,181,0.359752791,0.33810841,NA
181,182,0.360349693,0.338365665,NA
182,183,0.358126854,0.334859912,NA
183,184,0.359765208,0.334803498,NA
184,185,0.359828411,0.336568341,NA
185,186,0.354775176,0.335911479,NA
186,187,0.35920183,0.338372307,NA
187,188,0.360089787,0.338359947,NA
188,189,0.363878316,NA,NA
189,190,0.36376995,0.339768251,NA
190,191,0.366378647,NA,NA
191,192,0.364460619,0.336156024,NA
192,193,0.365421663,0.334298923,NA
193,194,0.362701423,0.336701792,NA
194,195,0.361757837,0.336655146,NA
195,196,0.362297538,0.337379309,NA
196,197,0.364659423,0.335285911,NA
197,198,0.36339061,NA,NA
198,199,0.360474675,0.333641818,NA
199,200,0.358383192,0.332391196,NA
200,201,0.361565314,NA,NA
201,202,0.362346985,NA,NA
202,203,0.362886118,NA,NA
203,204,0.362089603,0.332497446,NA
204,205,0.356964375,0.335653903,NA
205,206,0.361522639,0.338079258,NA
206,207,0.362877959,0.337933838,NA
207,208,0.362015763,0.337456094,NA
208,209,0.361204196,0.336801735,NA
209,210,0.362620211,0.337770411,NA
210,211,0.359768572,0.338762422,NA
211,212,0.362388023,0.33760949,NA
212,213,0.359164527,0.339518622,NA
213,214,NA,0.33554512,NA
214,215,NA,0.337351472,NA
215,216,NA,0.336718904,NA
216,217,NA,0.337414044,NA
217,218,NA,0.339180497,NA
218,219,NA,0.338365949,NA
219,220,NA,0.33893155,NA
220,221,NA,0.335479292,NA
221,222,NA,0.337016152,NA
222,224,NA,0.333619807,NA
223,225,NA,0.338712266,NA
224,227,NA,0.333539405,NA
225,230,NA,0.335911972,NA
226,231,NA,0.334917751,NA
227,232,NA,0.341971346,NA
228,233,NA,0.334392547,NA
229,234,NA,0.337403596,NA
230,235,NA,0.334401923,NA
231,236,NA,0.334050745,NA
232,238,NA,0.335687596,NA
233,239,NA,0.334852192,NA
234,241,NA,0.33653204,NA
235,242,NA,0.334194638,NA
236,243,NA,0.334860588,NA
237,244,NA,0.337238968,NA
238,246,0.33002979,0.335849234,NA
239,247,0.32908265,0.33682185,NA
240,248,0.329249628,0.336448666,NA
241,249,0.331617006,0.335568335,NA
242,250,0.328226236,NA,NA
243,251,0.332761251,0.333488679,NA
244,252,0.32667488,0.337291568,NA
245,253,0.326150328,NA,NA
246,254,0.324303271,0.334116742,NA
247,255,0.324949886,0.333209363,NA
248,256,0.326718797,0.334535426,NA
249,257,NA,0.334248316,NA
250,258,0.329680887,0.334025035,NA
251,259,0.330828685,0.334239097,NA
252,260,0.331304348,0.334568258,NA
253,261,0.329413554,0.334006032,NA
254,262,0.332122669,0.33650348,NA
255,263,0.330136959,0.335240066,NA
256,264,NA,0.335173825,NA
257,265,NA,0.335728655,NA
258,266,NA,0.333998284,NA
259,267,NA,0.334550037,NA
260,268,NA,0.334437336,NA
261,269,NA,0.333825619,NA
262,270,NA,0.334402483,NA
263,271,NA,0.332962493,NA
264,272,NA,0.333920472,NA
265,273,NA,0.334118852,NA
266,274,NA,0.334240255,NA
267,275,NA,0.333056782,NA
268,276,NA,0.332567775,NA
269,277,NA,0.334544383,NA
270,278,NA,0.333209434,NA
271,279,NA,0.335409937,NA
272,280,NA,0.335329341,NA
273,281,NA,0.335066285,NA
274,282,NA,0.333011593,NA
275,283,NA,0.333045868,NA
276,284,NA,0.333759314,NA
277,285,NA,0.333644501,NA
278,286,NA,0.333456872,NA
279,287,NA,0.334843046,NA
280,288,NA,0.333584532,NA
281,289,NA,0.33463648,NA
282,290,NA,0.335994673,NA
283,291,NA,0.334342155,NA
284,292,NA,0.334573841,NA
285,293,NA,0.333706124,NA
286,294,NA,0.332925863,NA
287,295,NA,0.334798002,NA
288,296,NA,0.335825945,NA
289,297,NA,0.334176827,NA
290,298,NA,0.334080783,NA
291,299,NA,0.33454625,NA
292,300,NA,0.333062322,NA
293,301,NA,0.334577713,NA
294,302,NA,0.333378155,NA
295,303,NA,0.332824383,NA
296,304,NA,0.331942803,NA
297,305,NA,0.335813109,NA
298,306,NA,0.335009654,NA
299,307,NA,0.334858737,NA
300,308,NA,0.333624527,NA
301,309,NA,0.33443546,NA
302,310,NA,0.335353711,NA
303,311,NA,0.335451161,NA
304,312,NA,0.3335104,NA
305,313,NA,0.335190181,NA
306,314,NA,0.335579196,NA
307,315,NA,0.333798236,NA
308,316,NA,0.335464924,NA
309,317,NA,0.338013043,NA
310,318,NA,0.335193446,NA
311,319,NA,0.335248207,NA
312,320,NA,0.335921469,NA
313,321,NA,0.335089662,NA
314,322,NA,0.333552174,NA
315,323,0.329631067,0.334819728,NA
316,324,0.32824441,0.334755962,NA
317,325,0.33106634,0.334082383,NA
318,326,0.329030129,0.332958918,NA
319,327,0.329620432,0.335479886,NA
320,328,0.331807964,0.333908264,NA
321,329,0.328997522,0.333474432,NA
322,330,0.329533131,0.332900538,NA
323,331,0.328676777,0.332819206,NA
324,332,0.327716315,0.335492122,NA
325,333,0.331904846,0.334654416,0.329346429
326,334,0.331932286,0.338364775,0.331425772
327,335,0.331806482,0.337986228,0.329718005
328,336,0.332734492,0.337963118,0.330262884
329,337,0.331880695,0.336623735,0.275427364
330,338,0.331111762,0.334514894,NA
331,339,0.331441039,0.333716714,NA
332,340,0.331490641,0.334695877,NA
333,341,0.330342698,0.333231236,NA
334,342,0.3320927,0.332510064,NA
335,343,0.329804377,0.332580975,NA
336,344,0.33302049,0.333001398,NA
337,345,0.333336109,0.33261527,NA
338,346,0.331828379,0.333703951,NA
339,347,0.324805176,0.336932458,NA
340,348,0.331198235,0.333062884,NA
341,349,0.326569535,0.335721518,NA
342,350,NA,0.332493262,NA
343,351,NA,0.335231349,NA
344,352,NA,0.33278659,NA
345,353,NA,0.337378582,NA
346,354,NA,0.332507847,NA
347,355,NA,0.334676839,NA
348,356,NA,0.336398527,NA
349,357,NA,0.335162241,NA
350,358,NA,0.334086452,NA
351,359,NA,0.337023013,NA
352,360,NA,0.333726587,NA
353,361,NA,0.337588499,NA
354,362,NA,0.336664994,NA
355,363,NA,0.332714949,NA
356,364,NA,0.337834889,NA
357,365,NA,0.338191143,NA
