,DOY,green relative Year2015.C77,green relative Year2014,green relative Year2017
1,1,0.34068456,NA,0.34404517
2,2,0.339697967,NA,0.343931109
3,3,0.342253743,NA,0.343347265
4,4,0.340356739,NA,0.34270343
5,5,0.341886385,NA,0.343363461
6,6,NA,NA,0.342517916
7,7,0.340573536,NA,0.342528248
8,8,0.341435094,NA,0.343731301
9,9,0.341760364,NA,0.343176112
10,10,NA,NA,0.342655733
11,11,0.341804036,NA,0.342296569
12,12,0.341900744,NA,0.341939875
13,13,0.342648656,NA,0.343551665
14,14,0.341617328,NA,0.342800874
15,15,0.343787143,NA,0.342783621
16,16,NA,NA,0.344140174
17,17,0.341888473,NA,0.342281777
18,18,0.341385333,NA,0.342969925
19,19,NA,NA,0.344061591
20,20,0.340834687,NA,0.343790446
21,21,0.339450349,NA,0.34420735
22,22,NA,NA,0.34402205
23,23,NA,NA,0.344064261
24,24,NA,NA,0.344054449
25,25,0.340914,NA,NA
26,26,0.344209021,NA,0.344091278
27,27,0.342192291,NA,0.344998419
28,28,0.341567877,NA,0.345020955
29,29,0.341319706,NA,0.345025031
30,30,NA,NA,0.344967198
31,31,0.342205009,NA,0.344880623
32,32,0.342639285,NA,0.34470699
33,33,0.340932491,NA,0.344893482
34,34,0.340623968,NA,0.344922731
35,35,0.342795154,NA,0.344888103
36,36,0.342794705,NA,0.344836985
37,37,NA,NA,0.344710677
38,38,0.342948821,NA,0.344408568
39,39,0.343541451,NA,0.343996723
40,40,0.341850499,NA,0.344002019
41,41,0.342193227,NA,0.344701821
42,42,0.342305814,NA,0.424384738
43,43,0.340901254,NA,0.423956219
44,44,NA,NA,0.423760922
45,45,0.341120609,NA,0.423674211
46,46,0.342029031,NA,0.42352059
47,47,0.34050325,NA,0.423826134
48,48,NA,NA,0.423251679
49,49,0.342130272,NA,0.423131085
50,50,NA,NA,0.423812201
51,51,0.34132454,NA,0.423929762
52,52,0.339341655,NA,0.423484729
53,53,NA,NA,0.423331681
54,54,0.342375845,NA,0.42396643
55,55,0.342282638,NA,0.425014398
56,56,0.338309497,NA,0.425085677
57,57,NA,NA,0.425175561
58,58,0.343065304,NA,0.424954676
59,59,0.343114692,NA,0.424429417
60,60,0.342752831,NA,0.423959619
61,61,0.340314672,NA,0.423916003
62,62,0.340501697,NA,0.423948938
63,63,0.343911084,NA,0.423515792
64,64,NA,NA,0.423489385
65,65,0.342175304,NA,0.42349632
66,66,0.341938823,NA,0.422706444
67,67,0.341209368,NA,0.422990358
68,68,NA,NA,0.423158899
69,69,0.340286827,NA,0.423343662
70,70,0.340111883,NA,0.423399655
71,71,0.340519648,NA,0.42358296
72,72,0.340628109,NA,0.424677632
73,73,0.340158181,NA,0.424103205
74,74,0.339540801,NA,0.423936907
75,75,0.339598007,NA,0.42342276
76,76,0.341322276,NA,0.423699945
77,77,0.339826242,NA,0.423608398
78,78,0.341407,NA,0.423807995
79,79,0.340855812,NA,0.423426429
80,80,0.340974347,NA,0.423241743
81,81,0.34028939,NA,0.423602511
82,82,0.339661668,NA,0.423515898
83,83,0.338790128,NA,0.4234769
84,84,0.340323849,NA,0.423785089
85,85,0.339585437,NA,0.423819601
86,86,0.339623056,NA,0.423414617
87,87,0.341580516,NA,0.4236597
88,88,0.340548752,NA,0.423084811
89,89,0.340057616,NA,0.423262069
90,90,0.340627415,NA,0.4234598
91,91,0.340179114,NA,0.424264342
92,92,0.340535988,NA,0.424067457
93,93,0.342012065,NA,0.423987891
94,94,0.340528673,NA,0.423829723
95,95,0.339851328,NA,0.424022378
96,96,NA,NA,0.424215269
97,97,0.342423347,NA,0.424401539
98,98,0.340267286,NA,0.424154494
99,99,0.340222819,NA,0.423899682
100,100,0.342532948,NA,0.424465822
101,101,NA,NA,0.424305283
102,102,0.342503743,NA,0.424023183
103,103,NA,NA,0.424371343
104,104,0.342157146,NA,0.424466332
