,DOY,green relative Year2015.C57,green relative Year2014,green relative Year2013
1,1,0.321123358,0.328171087,0.321209051
2,2,0.31824223,0.322678515,0.321196708
3,3,0.317969611,0.320002067,0.319165552
4,4,0.325554449,0.321551468,0.31920966
5,5,0.320511059,0.322062146,0.318366105
6,6,0.322152489,0.321491336,0.320312189
7,7,0.325529923,NA,0.323033649
8,8,0.321624906,0.321964603,0.317495093
9,9,0.325041608,0.31496645,0.313852837
10,10,0.319035079,0.319500633,0.3213323
11,11,0.313079987,NA,0.317807658
12,12,0.323008988,0.327083846,0.320869233
13,13,0.319292908,0.321514211,0.320663385
14,14,0.309391241,0.320763357,0.322069534
15,15,0.32260458,0.320816462,0.318925141
16,16,0.322167314,0.326497051,0.318710525
17,17,0.3239605,0.322063283,0.324006155
18,18,0.313778368,NA,0.318974849
19,19,0.3105696,NA,0.318675669
20,20,0.310053537,NA,0.321355463
21,21,0.321146633,0.319836841,0.322918947
22,22,0.318045455,0.30755116,0.321715286
23,23,0.310999303,0.323265316,0.324971719
24,24,0.319910881,0.323196508,0.325317228
25,25,0.320888062,0.327594929,0.321711546
26,26,0.318077105,0.317953888,0.322333837
27,27,0.317397226,NA,0.318646777
28,28,0.3130427,NA,0.326353211
29,29,0.31329742,0.324309659,0.326585414
30,30,NA,0.326437772,0.327312686
31,31,0.319348583,NA,0.324808828
32,32,0.323030718,0.31617492,0.321252454
33,33,0.321479422,0.321209122,0.319759419
34,34,0.320956005,0.322459809,0.317567613
35,35,0.323599345,0.321304083,0.319770707
36,36,0.322430138,0.320116029,0.317132095
37,37,0.314178032,0.323000484,0.324936151
38,38,0.321559464,0.321896175,0.324150736
39,39,0.310159184,0.321017745,0.325037521
40,40,0.322131491,0.324294731,0.323140671
41,41,0.320935476,0.323030215,0.326411057
42,42,0.318287132,0.322105923,0.322668638
43,43,0.323635197,0.323368264,0.322107982
44,44,0.317619785,0.325880591,0.322320545
45,45,0.320236623,0.325649253,0.316035853
46,46,0.320714651,0.324538741,0.323557865
47,47,0.32142218,0.320962957,0.324109832
48,48,0.322650975,0.329848792,0.323599971
49,49,0.32304608,0.325210592,0.319590568
50,50,NA,0.321936073,0.325082022
51,51,0.322469349,0.311458018,0.323179544
52,52,0.319864886,0.331259836,0.322550781
53,53,0.322690599,0.323388898,0.321682009
54,54,0.322119392,0.320644639,0.324942507
55,55,0.325135546,0.322922235,0.318145649
56,56,0.321736689,0.321883441,0.319330059
57,57,0.321738949,0.322648462,0.317763348
58,58,0.319983644,0.322494089,0.314862059
59,59,0.319346009,0.321129798,0.320090445
60,60,0.322093837,0.323866676,0.323344522
61,61,0.319348817,0.322673247,0.320401235
62,62,0.31220586,0.322048878,0.320696555
63,63,0.322765844,0.321681801,0.323355984
64,64,0.320532547,0.32081683,0.317879388
65,65,0.323493704,0.324684644,0.323154988
66,66,0.320745951,0.323171762,0.322661621
67,67,0.320401533,0.322887201,0.322563603
68,68,0.323250806,0.322538285,0.324451911
69,69,0.322165139,0.321751519,0.317686156
70,70,0.321328042,0.321951845,0.324943615
71,71,0.325026127,0.321046057,0.321503324
72,72,0.324173265,0.318919714,0.320175747
73,73,0.319777877,0.319104278,0.321873496
74,74,0.323376003,0.32237335,0.322495461
75,75,0.323429127,0.320492892,0.32172151
76,76,0.318515917,0.327324133,0.320624623
77,77,0.320792771,0.323249485,0.322628235
78,78,0.315280048,0.32361851,0.321892676
79,79,0.323729059,0.321873772,0.321527355
80,80,0.318769867,0.31935335,0.322584868
81,81,0.321509471,0.32190889,0.320601933
82,82,0.321217825,0.321685943,0.320453553
83,83,0.318796125,0.322344327,0.317029623
84,84,0.317987562,0.323854137,0.320981437
85,85,0.319592681,0.322634011,NA
86,86,NA,0.316178454,NA
87,87,0.320916447,0.315649129,NA
88,88,0.325885769,0.32329849,NA
89,89,0.320942771,0.323170072,NA
90,90,0.31737391,0.32465984,NA
91,91,0.322532833,0.314002228,NA
92,92,0.317462914,0.321730343,NA
93,93,NA,0.323417321,0.32005789
94,94,NA,0.328638441,0.322548484
95,95,NA,0.321927221,0.320329832
96,96,NA,0.322839124,0.316937247
97,97,0.319907662,0.322915215,0.319235657
98,98,0.322270768,0.322738324,0.313875482
99,99,0.315275181,0.321376952,0.323613339
100,100,0.320704466,0.320372569,0.322280939
101,101,0.318240976,0.318560968,NA
102,102,0.320520698,0.319736565,0.324992661
103,103,0.309386818,0.319237519,0.320622577
104,104,0.318354725,0.330644445,0.321951331
105,105,0.318005818,0.321190348,0.320549727
106,106,0.320193626,0.328429954,0.322595046
107,107,0.319389986,0.309087864,0.313104213
108,108,0.318508619,0.319891782,0.319570732
109,109,0.317066417,0.323811152,0.321485108
110,110,0.322735636,0.322624634,0.31947903
111,111,0.323073283,0.322562186,0.320596078
112,112,0.316185312,0.320861018,0.314126801
113,113,0.317766389,0.320962413,0.329778736
114,114,0.322146474,0.315800206,0.320318513
115,115,0.318299991,0.316576848,0.321209849
116,116,0.318619879,0.323759643,0.320136393
117,117,0.3167417,0.322528996,0.32032675
118,118,0.314180297,0.321085492,0.321122618
119,119,0.318441115,0.322604217,0.321864616
120,120,0.315609234,0.310059251,0.321299402
121,121,0.321825238,0.316791275,0.325109456
122,122,0.319602126,0.313777286,0.332893567
123,123,0.320429842,0.323142423,0.332493058
124,124,0.32218062,0.31835498,0.321115926
125,125,0.318717547,0.31624296,0.321472578
126,126,0.318419619,0.32224126,0.317835146
127,127,0.331088714,0.322953856,0.320377208
128,128,0.336286194,0.325040016,0.323092239
129,129,0.335584894,0.322414714,0.320769936
130,130,0.333808287,0.319200169,0.317800942
131,131,0.342790787,0.32387979,0.322781053
132,132,0.337439147,0.322965875,0.321081418
133,133,0.337774573,0.321049873,0.321201974
134,134,0.342631972,0.321088939,0.326478244
135,135,0.346572958,0.323994154,NA
136,136,0.356406026,0.317641779,0.333334881
137,137,0.386319422,0.323457284,0.342382371
138,138,0.380064862,0.321957579,0.344730098
139,139,0.380741809,0.324326133,0.358155456
140,140,0.376279448,0.325435837,0.383399862
141,141,0.374572441,0.328657498,0.393652509
142,142,0.377355049,0.331171625,NA
143,143,0.389517575,0.329357022,NA
144,144,0.41940514,0.341505007,NA
145,145,0.432753624,0.359317736,NA
146,146,0.446340227,0.385402608,NA
147,147,0.443468132,0.411374042,NA
148,148,0.446200726,0.409085651,NA
